,Unnamed: 0,Year,Canada,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,27691138,1990-12-31,90484.9475779493,462117.351149139,603221.866919033,970.540192,38864.8794880575,7557.901859348679,3225.9221983891
1,1,1991,28037420,1991-12-31,92223.1563410774,452494.723086163,594872.982138977,1056.6608,37379.7735780685,8033.11321531272,3685.2393346678796
2,2,1992,28371264,1992-12-31,96534.4138920912,467037.420143524,612470.50945834,829.7768,37932.7956540921,7578.683113065459,2557.11274234271
3,3,1993,28684764,1993-12-31,99891.591346455,467406.41099046,615048.507584933,,37921.079818521604,7455.58343575616,2373.54355097922
4,4,1994,29000663,1994-12-31,103723.725018915,482436.57867490203,636374.3340800271,,40876.9857599511,6895.01454213527,2441.7403118245898
5,5,1995,29302311,1995-12-31,107642.18202729401,494920.254788246,653057.975462026,460.50509723953695,41412.6596267269,6346.93669363401,2275.15612704892
6,6,1996,29610218,1996-12-31,111229.571063724,510736.656417936,674575.215560094,810.624954718478,43528.0734756848,6501.371418850589,1768.64579780718
7,7,1997,29905948,1997-12-31,109737.31389563199,524789.166836941,686114.626194648,1122.30349100694,42263.7795233181,6374.16772074153,1827.63096609743
8,8,1998,30155173,1998-12-31,110472.376908335,533639.792821814,693059.075657216,1620.11150727323,38492.864340618704,6476.19287051094,2357.48211821587
9,9,1999,30401286,1999-12-31,111548.90203856699,549553.212013035,707363.7657150921,2160.36452105141,36320.4650659834,5370.4764251303795,2410.09923133865
10,10,2000,30685730,2000-12-31,112024.25823625301,572162.1028639721,730681.594255912,2754.8420398359303,35852.6688166659,4984.5248945124395,2902.95965514968
11,11,2001,31020902,2001-12-31,110153.734703924,564946.398072384,719697.167052545,3159.2956287521,34832.8928540902,4047.5160868159,2557.10062751939
12,12,2002,31360079,2002-12-31,108324.712690453,570844.777611729,723948.358790076,3607.06766099863,34692.806191072,3462.96296744712,3015.81125977883
13,13,2003,31644028,2003-12-31,106786.297954091,587178.148867368,740245.804983118,3979.8576530497603,36159.953645889,3489.9041772705896,2651.43094731505
14,14,2004,31940655,2004-12-31,107090.891076785,585703.097963365,741584.480166666,4584.77356780635,38343.7346698737,3521.87893870307,2339.9008824604102
15,15,2005,32243753,2005-12-31,105737.331794082,576434.4638473421,729747.165694537,5107.033442572971,37212.3308814327,3838.44885149476,1417.36248040284
16,16,2006,32571174,2006-12-31,104730.630023225,570950.380878791,720516.1091445909,5391.07606666372,34931.968299276,2985.12847360248,1526.73967628596
17,17,2007,32889025,2007-12-31,103092.874229944,594220.570759443,742313.66328116,6077.57252813593,35662.6466026586,2533.62902795267,726.19307674164
18,18,2008,33247118,2008-12-31,100190.83167366,575586.90796111,722567.96992693,6135.67115116636,37409.181799173,2600.8755390084602,644.3334169902121
19,19,2009,33628895,2009-12-31,93922.0139985906,542549.599765392,680493.571152915,6909.9710986993605,34228.1736836689,2509.7830526715697,373.869838533732
20,20,2010,34004889,2010-12-31,91559.357822648,555549.849476423,690530.616855534,7729.0536357747305,33391.6087124838,1858.5024750883604,442.093688220072
21,21,2011,34339328,2011-12-31,91386.641953668,566740.990959863,702412.979308979,8592.44913664706,33610.4052394659,1686.64724578524,395.693728654008
22,22,2012,34714222,2012-12-31,94060.47297231779,569737.013024553,710108.2965149891,9083.742041150981,34988.3738513004,1798.50111224376,440.042468527044
23,23,2013,35082954,2013-12-31,95502.2137745965,576327.006234054,720877.453851271,10075.6652234939,36918.906182136605,1616.98917051927,436.52222157528
24,24,2014,35437435,2014-12-31,97277.5529981807,575942.1788118221,721353.744563692,10951.0288846077,35711.4578496564,1088.02394780132,383.381986727892
25,25,2015,35702908,2015-12-31,95542.4162094383,575906.9386452821,720380.1791123609,11042.4478057882,36490.290208739396,968.0034952172169,429.96266300028
26,26,2016,36109487,2016-12-31,92507.15904790901,564032.530027391,706196.414317703,11317.790993446,37239.8453479745,764.6770045894881,334.291811497092
27,27,2017,36543321,2017-12-31,91893.0417416908,572834.389442262,713838.2065714679,11528.0861100581,36556.526742159396,744.0957980712041,281.946652330368
28,28,2018,37057765,2018-12-31,91424.1111268477,586504.634542466,729349.270395644,12545.433716527199,37944.5424124137,621.033002948857,309.395509544412
29,29,2019,37589262,,,,,,,,
