,Unnamed: 0,Year,Japan,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,123537000,1990-12-31,48247.4890237919,438008.80219971295,516051.74218015705,444.0,26036.2447069511,2906.85506987091,408.351179829816
1,1,1991,123921000,1991-12-31,49126.5475020885,437538.596512975,517107.000794587,449.29735111111097,27051.851853248598,2509.91163125455,430.795943909064
2,2,1992,124229000,1992-12-31,48977.0483006379,437829.80394584796,516117.30634123797,471.90513435868104,26587.142257530602,1818.77438824307,432.632314619748
3,3,1993,124536000,1993-12-31,49283.5248100651,430179.95845453604,509104.902296359,494.098536906839,27030.9729051192,1672.0612179977302,444.286371733812
4,4,1994,124961000,1994-12-31,49708.606604447195,424581.72076242,503368.55404031294,664.064980301903,26503.9420313767,1422.69866414441,487.52099762195996
5,5,1995,125439000,1995-12-31,50325.8432006212,448332.906183622,529435.478041526,926.652550964668,27578.518000512402,1492.31078158548,679.720156554048
6,6,1996,125757000,1996-12-31,50816.843312423094,442277.406090101,523538.2289335,668.402035490751,27694.55265175,1234.57546741572,761.7216787946761
7,7,1997,126057000,1997-12-31,51363.9222908689,448044.941141219,531260.38183668,1004.1274092210199,28675.841684839903,1281.11639826452,813.388664135004
8,8,1998,126400000,1998-12-31,50880.4603203089,460049.19912109204,543481.189890139,1525.61644413539,28951.2068757063,1329.36741292688,688.5571842627
9,9,1999,126631000,1999-12-31,50854.0212495185,464548.48104940704,548740.283140669,1988.72632313811,29508.2632962254,1327.59724120726,463.54878939325204
10,10,2000,126843000,2000-12-31,50766.13677534599,468442.086348554,552474.434041998,2489.0254095260602,28648.1613265845,1488.4997768820901,604.3131573306961
11,11,2001,127149000,2001-12-31,50868.638876530706,468642.862531697,554029.530061746,3284.1848173166,28842.8606548353,1502.52918164629,852.7158320528399
12,12,2002,127445000,2002-12-31,49240.0519450528,476251.23595673294,560213.531459924,4209.039550589079,28230.2428396638,1491.22662124371,740.7210456422999
13,13,2003,127718000,2003-12-31,49446.2078450108,494183.28688490205,579418.015111733,5224.37160928023,28081.2836021894,1882.1820750457398,549.89326097136
14,14,2004,127761000,2004-12-31,47828.715213240306,499619.392973289,585375.660166617,6458.33652099588,28881.975561079904,1950.8814916140198,584.545572063828
15,15,2005,127773000,2005-12-31,48328.3053815321,500005.67633925704,586529.470426221,7616.968426849309,28032.240057686602,1939.9465923700197,549.999794192292
16,16,2006,127854000,2006-12-31,47064.7797963107,495124.19843293296,576602.666618532,8739.713457050191,23123.3861812713,1935.1425899430399,570.291993357132
17,17,2007,128001000,2007-12-31,47763.4521176283,487693.30551220104,569689.769800337,9452.06408097136,22407.5595764076,1886.20360283508,452.66407596102005
18,18,2008,128063000,2008-12-31,47327.838240507306,476229.970792145,557101.804779563,10389.6585546155,20904.2895689513,1712.38597586177,495.921146481528
19,19,2009,128047000,2009-12-31,47292.369055913,422624.18730751297,502603.754907006,11203.255672995,19755.6304239311,1215.36019192858,472.033087058928
20,20,2010,128070000,2010-12-31,46980.0278294097,433688.023903586,513756.37885527295,12052.908370448999,19078.1222146923,1520.38620529573,393.787497507108
21,21,2011,127833000,2011-12-31,45569.449351841504,422039.47517146,501288.045039892,12968.929664193101,18556.8125543108,1661.28020541475,441.363258338832
22,22,2012,127629000,2012-12-31,46168.1687418584,401554.70858220704,482361.633053964,13596.1298799706,19049.9288413333,1499.20563616302,445.605538099188
23,23,2013,127445000,2013-12-31,44770.83586746889,367568.71230315,447072.723427054,14267.7723846002,18289.4570152838,1705.41366666667,421.883688884508
24,24,2014,127276000,2014-12-31,43904.6718003371,347860.803522809,426491.711008972,14917.7743344425,17833.8323234323,1564.34433333333,359.15752695132005
25,25,2015,127141000,2015-12-31,43883.6013874571,360088.17781390005,439431.75114522397,15388.7755301647,17859.2564469064,1688.32566666667,472.245132461616
26,26,2016,126994511,2016-12-31,43399.2707536272,356556.196027575,436088.44924633706,15963.3819772683,18099.5286261541,1613.725,399.415360712964
27,27,2017,126785797,2017-12-31,43657.970684938504,351473.93294538,431324.46349526703,16407.9083486214,18007.0284621965,1313.6772233333302,417.493663130976
28,28,2018,126529100,2018-12-31,43032.646319177904,348085.029259785,427529.021292836,16569.7435076847,17694.8528036963,1657.269,446.425562491068
29,29,2019,126264931,,,,,,,,
