,Unnamed: 0,Year,New Zealand,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,3329800,1990-12-31,31847.2144014944,162385.109422551,220740.86736172801,5606.3288,18032.6596158077,2662.8503218743303,206.7048
1,1,1991,3495100,1991-12-31,32252.8007615081,170796.382524118,228385.55932136698,4366.0740000000005,18204.9975713918,2639.58526434909,125.7192
2,2,1992,3531700,1992-12-31,31864.093516689703,170630.241424131,229110.630786334,5621.292034,18458.3049230929,2402.6576884206697,134.0412
3,3,1993,3572200,1993-12-31,31434.0085315637,170817.552396797,229867.596791444,6311.61511,18731.8268448025,2432.3511082805603,140.2428
4,4,1994,3620000,1994-12-31,30418.9303247419,171401.365047735,230750.532976026,8159.2269719999995,18250.7666013323,2340.78523021609,179.4588
5,5,1995,3673400,1995-12-31,29699.082644037797,172966.168650756,230937.80412037802,7570.524481000659,18161.1368519381,2279.9226926451997,260.9688
6,6,1996,3732000,1996-12-31,29009.2243329671,182148.288127849,241763.553529205,9593.31097500152,18206.09450404,2535.61198934708,271.0236
7,7,1997,3781300,1997-12-31,27378.1499181794,175019.626330112,233603.08207237,10198.4529199986,17942.871598479498,2764.9365055999397,299.0448
8,8,1998,3815000,1998-12-31,26641.3935216498,176136.86613746898,234161.154554444,11568.7216350007,17363.0586626424,2174.66459768209,276.45
9,9,1999,3835100,1999-12-31,25382.8551808293,170727.34959651,220828.43212456699,6012.707505001171,16673.1715865832,1766.13545564346,266.2128
10,10,2000,3857700,2000-12-31,24279.4823943538,171887.440050803,219239.07013345102,4765.18279600039,16145.3716875035,1902.8132047905801,258.78
11,11,2001,3880500,2001-12-31,23616.9850572741,176798.51307636802,219714.044841575,2069.6092790011603,15162.2212896827,1791.81653924905,274.8996
12,12,2002,3948500,2002-12-31,22488.9240361521,176113.046481303,217608.55462014198,1813.0065689999499,14355.599718686599,2613.0102150002804,224.9676
13,13,2003,4027200,2003-12-31,21714.9922634073,179564.99809727602,218291.27359949998,1817.1293622705102,14232.2479437955,764.4351327507651,197.4708
14,14,2004,4087500,2004-12-31,21331.7128935426,181381.76585373,219893.839719738,1911.11528172125,14679.316488493301,370.47920225052803,219.45
15,15,2005,4133900,2005-12-31,19874.587987337,177459.00511061898,214226.59365834,1734.1554775720801,14589.1420523123,365.98503050053705,203.718
16,16,2006,4184600,2006-12-31,19432.6494192436,172686.523341534,209176.557562045,1990.3847359332397,14545.9907413353,351.24052399888603,169.7688
17,17,2007,4223800,2007-12-31,19481.6731672958,172587.180339288,207676.785782472,2130.6200981307397,12893.923861758101,426.889115999815,156.4992
18,18,2008,4259800,2008-12-31,19709.5538745878,175481.51102241199,207040.278321458,2242.69905102488,9121.792956032801,328.267817400524,156.4536
19,19,2009,4302600,2009-12-31,19489.088714765,170167.74143354,201382.077945278,2350.1788360033897,8921.10763237052,308.38332859973997,145.578
20,20,2010,4350700,2010-12-31,19405.9885792345,182117.938134422,213281.339605326,2660.91224675172,8628.942413518342,313.772231399343,153.786
21,21,2011,4384000,2011-12-31,18859.4323436199,169065.734256756,199175.460974573,2435.95379281315,8413.97319058313,275.195390800575,125.17200000000001
22,22,2012,4408100,2012-12-31,18438.368775413703,165827.027252846,195272.034861553,2395.1938669477104,8250.49185894635,188.44830739952,172.5048
23,23,2013,4442100,2013-12-31,18425.5700391777,165717.877810591,194878.14270308,2040.65274731599,8430.425291596079,143.75721440003,119.8596
24,24,2014,4509700,2014-12-31,18008.2920855401,158768.01234911,187184.613030073,1622.99402840981,8558.245495977571,93.2102710356294,133.8588
25,25,2015,4595700,2015-12-31,18202.6209122523,166366.655865468,195422.373555567,1801.1716144098102,8808.21443343644,104.220329999962,139.4904
26,26,2016,4693200,2016-12-31,18329.0460653438,166282.089728861,194991.60571245698,1617.7575388362698,8476.745019415219,151.812159999993,134.1552
27,27,2017,4793900,2017-12-31,18012.193061743503,164444.773768704,192876.468917916,1558.4494088362699,8657.643648631809,77.0286300000103,126.3804
28,28,2018,4841000,2018-12-31,17308.777073766298,160170.147439641,187756.38737642398,1641.6461828362699,8349.11774018123,163.008940000047,123.69
29,29,2019,4917000,,,,,,,,
