,Unnamed: 0,Year,Switzerland,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,6715519,1990-12-31,7418.8498399773,57348.824889549294,71184.9250694621,6.487443229575731,5740.25607034319,568.777877571461,101.72894879133601
1,1,1991,6799978,1991-12-31,7415.060908844391,57707.2230393214,71428.09398498769,11.1414994870086,5618.135387907751,573.841409759829,102.69173966733601
2,2,1992,6875364,1992-12-31,7549.989331487809,57451.4900177651,70970.223803815,12.8135741285902,5463.87651944725,389.478381560969,102.57597942525601
3,3,1993,6938265,1993-12-31,7525.95972601442,57493.4493373778,71276.3777782293,30.198110265325305,5674.21443209783,453.20903732857596,99.347135145324
4,4,1994,6993795,1994-12-31,7464.229192166129,59953.80903837139,73788.73764750769,73.2558452047319,5705.98656736734,485.082595504552,106.374408893616
5,5,1995,7040687,1995-12-31,7367.0977179325,59366.2066097918,73120.4834923318,135.759832015858,5583.884835374671,532.348600770311,135.1858964466
6,6,1996,7071850,1996-12-31,7375.66432546537,63302.7784000065,77087.9537831434,226.857391963391,5596.06150992964,469.71684221161104,116.87531356684799
7,7,1997,7088906,1997-12-31,7305.87401106313,58212.552133268204,72084.2890533913,371.931294937894,5600.58824903133,433.74868471537803,159.594680375364
8,8,1998,7110001,1998-12-31,7198.35026599835,58696.66595105019,72549.44313007849,483.44305910678804,5638.954451583671,420.810893873047,111.21850846643999
9,9,1999,7143991,1999-12-31,6998.6167559654605,55820.1569175791,69454.6125407364,638.960188016772,5421.42024453902,454.244856916584,121.21357771956
10,10,2000,7184250,2000-12-31,6833.157390898149,54684.4283163901,68114.6480176375,769.640582996456,5332.71219520223,375.931893376285,118.777638774384
11,11,2001,7229854,2001-12-31,6760.418828048249,55617.0558462997,68934.2633636994,851.9549483992461,5213.167378409929,368.89116549242993,122.77519704985201
12,12,2002,7284753,2002-12-31,6513.6304587287295,56572.519721603494,69642.1002836225,934.6205192643789,5094.19281273677,407.536947025576,119.59982426358
13,13,2003,7339001,2003-12-31,6303.87942366468,57160.5666051887,70017.22356498349,1003.3728716246001,5059.40905920827,404.866492544079,85.129112753172
14,14,2004,7389625,2004-12-31,6330.34754289553,56475.9190057769,69455.1492477193,1085.12898202862,5068.01885509771,401.046085985921,94.688775934608
15,15,2005,7437115,2005-12-31,6140.51591924814,53852.8566780823,66624.0304635444,1110.1983629229699,4962.5563080702605,406.31245238525497,151.590742835484
16,16,2006,7483934,2006-12-31,6027.04950314251,53674.2651981627,66247.35840878129,1134.9640970048401,4906.28079752708,392.16216201296095,112.63665093118799
17,17,2007,7551117,2007-12-31,5765.06123601231,52940.9044464416,65129.1612350691,1140.46751578497,4745.2354035770795,400.114326042797,137.378307210324
18,18,2008,7647675,2008-12-31,5492.78307283734,50855.99558347231,62753.4323863279,1155.92954424814,4825.63575038462,350.235084930419,72.853350455064
19,19,2009,7743831,2009-12-31,5338.20649784664,47231.11683838019,58496.7518846553,1154.25036176679,4654.48581391257,48.680703853653895,70.011668895528
20,20,2010,7824909,2010-12-31,5216.54009122237,53042.2233607854,64467.3069574303,1133.80797204996,4823.48977135496,187.789934098723,63.455827918896
21,21,2011,7912398,2011-12-31,5066.0020342095,49166.900598657805,60131.472468714695,1105.94271044214,4522.10809991355,215.079652499595,55.439372992056
22,22,2012,7996861,2012-12-31,4899.563712810171,46692.007430883205,57294.3008642539,1087.9240466702302,4482.9970237831,78.677159407086,53.13149070014399
23,23,2013,8089346,2013-12-31,4828.15994134697,45086.3354841233,55607.7104948902,1076.7270974058501,4523.2057348327,51.22386418677,42.058372994616
24,24,2014,8188649,2014-12-31,4701.76939353318,43337.555413135095,53846.362195363494,1102.58079293083,4576.55395754878,82.024040598786,45.878597616815995
25,25,2015,8282396,2015-12-31,4595.54385231961,43336.7554826262,53739.184086955494,1120.84513054125,4597.77218907536,35.131299290958,53.13613310208
26,26,2016,8373338,2016-12-31,4510.992384243111,42972.5653420075,53285.9358591119,1137.0011624531,4576.73690837872,31.1768041811491,57.463257848304
27,27,2017,8451840,2017-12-31,4470.49048359077,42306.8160464575,52715.0297739166,1098.0517934649001,4757.28267359164,36.5778835086802,45.810893303184
28,28,2018,8514329,2018-12-31,4380.54599148101,41766.1827222488,51779.2370327545,1034.90083218439,4503.63904637189,61.869669659604206,32.098770808859996
29,29,2019,8574832,,,,,,,,
