,Unnamed: 0,Year,United States,Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
0,0,1990,249623000,1990-12-31,133060.431949585,601187.186814322,797812.043911531,14391.4266541955,46210.681649748796,1651.3528722614801,1310.5489648867301
1,1,1991,252981000,1991-12-31,133811.58067568,609266.002027072,807236.091914763,14991.0521364908,46429.757935855305,1384.97078942956,1352.25109272407
2,2,1992,256514000,1992-12-31,133490.723173375,593745.973865002,786435.906206341,15597.640784698799,41516.6384765447,690.1792588289819,1394.20180175341
3,3,1993,259919000,1993-12-31,131903.729516722,579506.686402148,767022.4972480391,16505.7207309102,37282.0985114523,602.557259987982,1221.07365375937
4,4,1994,263126000,1994-12-31,125007.189305041,575774.5995763079,758171.048580819,17593.527853379,37919.917537017594,611.2215986785691,1263.86686137726
5,5,1995,266278000,1995-12-31,126522.06805428199,567507.648076862,751691.004751488,19096.2751805693,36660.3265073613,596.762230719238,1307.08997532288
6,6,1996,269394000,1996-12-31,125643.929198499,589137.824656407,773629.7801975091,20249.6600251355,36650.5644383815,596.183127221449,1350.65881653772
7,7,1997,272657000,1997-12-31,123338.033729605,563241.8361239029,748416.322334743,23105.122875671,36903.9084609115,502.93798319843694,1323.37923582904
8,8,1998,275854000,1998-12-31,119813.221717045,568512.201977305,747129.659071117,20075.213090568202,36864.3005943283,493.731928736251,1369.72024866498
9,9,1999,279040000,1999-12-31,114254.70313326099,561651.093852178,716725.958142813,11466.6600754927,27341.8317819604,473.95933377997,1536.25002450083
10,10,2000,282162411,2000-12-31,109036.793785355,568220.055467351,716279.7099271341,9885.02475998783,26685.8638505239,596.788570890907,1853.48996072423
11,11,2001,284968955,2001-12-31,104138.780254979,576926.994554245,719097.192264081,10894.5604853433,25163.448869853197,485.586454100465,1486.7885908565302
12,12,2002,287625193,2002-12-31,101688.39092828901,561047.845137749,699596.359216794,11392.6080980576,23534.369083178903,408.22827624517197,1523.88463857078
13,13,2003,290107933,2003-12-31,96504.2566670525,572532.251080021,706682.23096604,12830.4791490199,23110.381658113998,356.610457178727,1347.29748900185
14,14,2004,292805298,2004-12-31,92148.3588545896,573994.49080935,703280.269703178,11910.0884714553,23652.45936441,433.852722233669,1140.43052963254
15,15,2005,295516599,2005-12-31,87366.2640683773,570724.2651755289,695430.660399669,13132.230035756002,22746.4326563864,385.149253121641,1076.03053742008
16,16,2006,298379912,2006-12-31,82927.1384266945,568390.0545504161,688259.169122062,14046.390261551202,21607.7465119857,387.66891775794096,899.8842133936802
17,17,2007,301231207,2007-12-31,79042.7359468214,560205.595545064,676546.331109382,14495.8579843087,21659.081697143,287.838454497101,854.9410473934081
18,18,2008,304093966,2008-12-31,73452.3950608194,545682.4676761,656112.4735079,14994.683752631201,21018.245194632298,266.245326335585,698.165892960072
19,19,2009,306771529,2009-12-31,68914.8234032465,495119.48592287896,600031.686156189,15626.3212783697,19565.4405807703,197.33262528041402,608.0263412420401
20,20,2010,309321666,2010-12-31,64242.4234937216,512864.791680109,614493.218705857,16486.94673777,19905.2237415032,287.70808802358,705.852733637388
21,21,2011,311556874,2011-12-31,61559.1665119501,470608.13101534103,567259.486848784,14931.470685890601,19118.334323608102,416.892656085692,625.192201707588
22,22,2012,313830990,2012-12-31,60043.7205560703,488503.548419289,583865.702095406,15474.1618407422,18983.2641422338,254.981138296239,605.696599154184
23,23,2013,315993715,2013-12-31,56051.110303979294,478608.945079335,570218.675811016,15803.2732441725,18914.2197981157,318.713921549906,522.051124280736
24,24,2014,318301008,2014-12-31,53930.731496901106,439763.276954655,529981.2799659211,16001.764099896101,19506.5016001591,278.314968972197,500.29227179612394
25,25,2015,320635163,2015-12-31,53123.898942019805,423199.617230795,512121.42182387295,15987.229682628602,19012.3181959651,327.229299220511,470.690042348628
26,26,2016,322941311,2016-12-31,51541.238295586394,399824.29929998296,486371.70332206,15216.4503722804,18940.063181684898,353.94115489515605,495.228743645268
27,27,2017,324985539,2017-12-31,51965.790661932595,388803.410059709,475259.76486261794,14180.881153491498,19306.3730951846,493.19562704064697,509.583763876212
28,28,2018,326687501,2018-12-31,51936.278549698,380849.882910071,465931.875248057,13132.6980033585,19209.706513543602,256.83869133340903,545.887028530056
29,29,2019,328239523,,,,,,,,
