Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
1990-12-31,124383.179358765,278424.660375653,424998.38093939,1424.68352,15938.285071524,4607.01291909928,220.559694348984
1991-12-31,124308.869106322,279872.660257341,426015.21016654,1424.68352,15558.9119038648,4610.74329393256,239.342085079776
1992-12-31,123741.407630354,284912.437867139,430216.380428684,1333.184,15367.9562181118,4603.282544266,258.112168812888
1993-12-31,120117.915288147,289235.186168999,430612.555988275,1829.872,15837.1856102106,3315.52837602798,276.868544891196
1994-12-31,116834.941740878,294014.960792545,430653.332474529,1027.34354927313,16316.0512897778,2164.42874878371,295.606353272172
1995-12-31,115158.282184655,305410.166604956,439004.900544292,1004.03211082861,15585.3690291868,1530.83566492632,316.214949739716
1996-12-31,115355.759462231,312361.585574263,446681.849762258,414.17063782292,16850.8412064025,1410.39505848126,289.097823057288
1997-12-31,118199.040670688,320795.086167167,458841.602459653,705.228318135053,17647.3233467615,1228.1508980875,266.773058813088
1998-12-31,117153.717714584,334684.517907243,472629.669430223,998.289579795631,17892.4180134994,1660.51882000668,240.20739509454
1999-12-31,113023.535362148,344063.765859686,478199.840693722,1374.53997863768,18387.6517109739,1139.05875745416,211.289024822616
2000-12-31,116699.185079476,350195.023826897,489373.841972358,1613.95320909026,19366.1912442857,1287.06178871158,212.426823897804
2001-12-31,115299.174625221,357669.182881018,496982.309755838,2307.10807856309,19686.1664810306,1801.88197415979,218.795715845796
2002-12-31,113507.385983824,362209.546033934,500807.889046869,2925.89829073234,20212.3402827668,1727.62315282097,225.095302791336
2003-12-31,108063.872818247,369726.018066042,502301.77541877,3578.89689637269,19019.8886337367,1683.98477494731,229.114229424252
2004-12-31,110200.454648155,383205.122284339,520315.182054526,4267.13653601783,20697.9552754028,1713.84870550831,230.664605103036
2005-12-31,111908.876432265,386513.45429618,526206.972835304,5002.7622515446,20793.9632230892,1791.70111972472,196.215512499732
2006-12-31,111344.131103165,392680.646328911,530787.987970756,5166.70568017775,20723.3763380542,687.059841760489,186.068678687772
2007-12-31,111065.157016916,399842.460646105,536888.602052634,6066.18586627096,19156.9940555132,582.676819046088,175.12764878244
2008-12-31,109353.592538331,404417.407486178,540669.000413683,6858.96362011689,19431.1955305648,444.516693559401,163.324544933376
2009-12-31,108388.535612072,407463.327962593,544285.461931382,8109.07325168487,19818.9801221028,358.551981149097,146.99300178048
2010-12-31,106258.98564064,405502.798857304,540571.409833721,8672.21185412461,19711.3541924073,283.315234628066,142.744054617492
2011-12-31,108278.926020099,404172.757021574,542511.917896035,9139.82146465507,20478.3226617797,301.304839525102,140.785888401444
2012-12-31,107907.07256058,406506.241774818,544732.756215615,9055.86893241829,20821.1942621386,294.882946981773,147.495738677856
2013-12-31,107218.468669856,397943.178573917,535006.813813143,9859.71257255419,19651.6209137161,192.001235884438,141.831847215468
2014-12-31,105070.905979795,394116.891505507,530411.017699534,10778.8523262396,20096.6636090506,192.535990598746,155.168288343672
2015-12-31,105368.801285707,401554.757230168,538618.776181576,11795.3249584448,19557.6306196468,171.323657071029,170.938430537316
2016-12-31,105873.930156543,411031.531117043,548862.546493278,11979.4620219494,19566.3917025888,224.924133892,186.307361261376
2017-12-31,108170.69629232,415097.42766819,556612.265042082,11685.9360964034,21265.58500213,202.62553668,189.994446358368
2018-12-31,109532.20991759,415953.946668257,558047.219509756,11982.082324172,20114.4448477297,236.00270391,228.533048097228
