Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
1990-12-31,90484.9475779493,462117.351149139,603221.866919033,970.540192,38864.8794880575,7557.90185934868,3225.9221983891
1991-12-31,92223.1563410774,452494.723086163,594872.982138977,1056.6608,37379.7735780685,8033.11321531272,3685.23933466788
1992-12-31,96534.4138920912,467037.420143524,612470.50945834,829.7768,37932.7956540921,7578.68311306546,2557.11274234271
1993-12-31,99891.591346455,467406.41099046,615048.507584933,,37921.0798185216,7455.58343575616,2373.54355097922
1994-12-31,103723.725018915,482436.578674902,636374.334080027,,40876.9857599511,6895.01454213527,2441.74031182459
1995-12-31,107642.182027294,494920.254788246,653057.975462026,460.505097239537,41412.6596267269,6346.93669363401,2275.15612704892
1996-12-31,111229.571063724,510736.656417936,674575.215560094,810.624954718478,43528.0734756848,6501.37141885059,1768.64579780718
1997-12-31,109737.313895632,524789.166836941,686114.626194648,1122.30349100694,42263.7795233181,6374.16772074153,1827.63096609743
1998-12-31,110472.376908335,533639.792821814,693059.075657216,1620.11150727323,38492.8643406187,6476.19287051094,2357.48211821587
1999-12-31,111548.902038567,549553.212013035,707363.765715092,2160.36452105141,36320.4650659834,5370.47642513038,2410.09923133865
2000-12-31,112024.258236253,572162.102863972,730681.594255912,2754.84203983593,35852.6688166659,4984.52489451244,2902.95965514968
2001-12-31,110153.734703924,564946.398072384,719697.167052545,3159.2956287521,34832.8928540902,4047.5160868159,2557.10062751939
2002-12-31,108324.712690453,570844.777611729,723948.358790076,3607.06766099863,34692.806191072,3462.96296744712,3015.81125977883
2003-12-31,106786.297954091,587178.148867368,740245.804983118,3979.85765304976,36159.953645889,3489.90417727059,2651.43094731505
2004-12-31,107090.891076785,585703.097963365,741584.480166666,4584.77356780635,38343.7346698737,3521.87893870307,2339.90088246041
2005-12-31,105737.331794082,576434.463847342,729747.165694537,5107.03344257297,37212.3308814327,3838.44885149476,1417.36248040284
2006-12-31,104730.630023225,570950.380878791,720516.109144591,5391.07606666372,34931.968299276,2985.12847360248,1526.73967628596
2007-12-31,103092.874229944,594220.570759443,742313.66328116,6077.57252813593,35662.6466026586,2533.62902795267,726.19307674164
2008-12-31,100190.83167366,575586.90796111,722567.96992693,6135.67115116636,37409.181799173,2600.87553900846,644.333416990212
2009-12-31,93922.0139985906,542549.599765392,680493.571152915,6909.97109869936,34228.1736836689,2509.78305267157,373.869838533732
2010-12-31,91559.357822648,555549.849476423,690530.616855534,7729.05363577473,33391.6087124838,1858.50247508836,442.093688220072
2011-12-31,91386.641953668,566740.990959863,702412.979308979,8592.44913664706,33610.4052394659,1686.64724578524,395.693728654008
2012-12-31,94060.4729723178,569737.013024553,710108.296514989,9083.74204115098,34988.3738513004,1798.50111224376,440.042468527044
2013-12-31,95502.2137745965,576327.006234054,720877.453851271,10075.6652234939,36918.9061821366,1616.98917051927,436.52222157528
2014-12-31,97277.5529981807,575942.178811822,721353.744563692,10951.0288846077,35711.4578496564,1088.02394780132,383.381986727892
2015-12-31,95542.4162094383,575906.938645282,720380.179112361,11042.4478057882,36490.2902087394,968.003495217217,429.96266300028
2016-12-31,92507.159047909,564032.530027391,706196.414317703,11317.790993446,37239.8453479745,764.677004589488,334.291811497092
2017-12-31,91893.0417416908,572834.389442262,713838.206571468,11528.0861100581,36556.5267421594,744.095798071204,281.946652330368
2018-12-31,91424.1111268477,586504.634542466,729349.270395644,12545.4337165272,37944.5424124137,621.033002948857,309.395509544412
