Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
1990-12-31,48247.4890237919,438008.802199713,516051.742180157,444.0,26036.2447069511,2906.85506987091,408.351179829816
1991-12-31,49126.5475020885,437538.596512975,517107.000794587,449.297351111111,27051.8518532486,2509.91163125455,430.795943909064
1992-12-31,48977.0483006379,437829.803945848,516117.306341238,471.905134358681,26587.1422575306,1818.77438824307,432.632314619748
1993-12-31,49283.5248100651,430179.958454536,509104.902296359,494.098536906839,27030.9729051192,1672.06121799773,444.286371733812
1994-12-31,49708.6066044472,424581.72076242,503368.554040313,664.064980301903,26503.9420313767,1422.69866414441,487.52099762196
1995-12-31,50325.8432006212,448332.906183622,529435.478041526,926.652550964668,27578.5180005124,1492.31078158548,679.720156554048
1996-12-31,50816.8433124231,442277.406090101,523538.2289335,668.402035490751,27694.55265175,1234.57546741572,761.721678794676
1997-12-31,51363.9222908689,448044.941141219,531260.38183668,1004.12740922102,28675.8416848399,1281.11639826452,813.388664135004
1998-12-31,50880.4603203089,460049.199121092,543481.189890139,1525.61644413539,28951.2068757063,1329.36741292688,688.5571842627
1999-12-31,50854.0212495185,464548.481049407,548740.283140669,1988.72632313811,29508.2632962254,1327.59724120726,463.548789393252
2000-12-31,50766.136775346,468442.086348554,552474.434041998,2489.02540952606,28648.1613265845,1488.49977688209,604.313157330696
2001-12-31,50868.6388765307,468642.862531697,554029.530061746,3284.1848173166,28842.8606548353,1502.52918164629,852.71583205284
2002-12-31,49240.0519450528,476251.235956733,560213.531459924,4209.03955058908,28230.2428396638,1491.22662124371,740.7210456423
2003-12-31,49446.2078450108,494183.286884902,579418.015111733,5224.37160928023,28081.2836021894,1882.18207504574,549.89326097136
2004-12-31,47828.7152132403,499619.392973289,585375.660166617,6458.33652099588,28881.9755610799,1950.88149161402,584.545572063828
2005-12-31,48328.3053815321,500005.676339257,586529.470426221,7616.96842684931,28032.2400576866,1939.94659237002,549.999794192292
2006-12-31,47064.7797963107,495124.198432933,576602.666618532,8739.71345705019,23123.3861812713,1935.14258994304,570.291993357132
2007-12-31,47763.4521176283,487693.305512201,569689.769800337,9452.06408097136,22407.5595764076,1886.20360283508,452.66407596102
2008-12-31,47327.8382405073,476229.970792145,557101.804779563,10389.6585546155,20904.2895689513,1712.38597586177,495.921146481528
2009-12-31,47292.369055913,422624.187307513,502603.754907006,11203.255672995,19755.6304239311,1215.36019192858,472.033087058928
2010-12-31,46980.0278294097,433688.023903586,513756.378855273,12052.908370449,19078.1222146923,1520.38620529573,393.787497507108
2011-12-31,45569.4493518415,422039.47517146,501288.045039892,12968.9296641931,18556.8125543108,1661.28020541475,441.363258338832
2012-12-31,46168.1687418584,401554.708582207,482361.633053964,13596.1298799706,19049.9288413333,1499.20563616302,445.605538099188
2013-12-31,44770.8358674689,367568.71230315,447072.723427054,14267.7723846002,18289.4570152838,1705.41366666667,421.883688884508
2014-12-31,43904.6718003371,347860.803522809,426491.711008972,14917.7743344425,17833.8323234323,1564.34433333333,359.15752695132
2015-12-31,43883.6013874571,360088.1778139,439431.751145224,15388.7755301647,17859.2564469064,1688.32566666667,472.245132461616
2016-12-31,43399.2707536272,356556.196027575,436088.449246337,15963.3819772683,18099.5286261541,1613.725,399.415360712964
2017-12-31,43657.9706849385,351473.93294538,431324.463495267,16407.9083486214,18007.0284621965,1313.67722333333,417.493663130976
2018-12-31,43032.6463191779,348085.029259785,427529.021292836,16569.7435076847,17694.8528036963,1657.269,446.425562491068
