Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
1990-12-31,31847.2144014944,162385.109422551,220740.867361728,5606.3288,18032.6596158077,2662.85032187433,206.7048
1991-12-31,32252.8007615081,170796.382524118,228385.559321367,4366.074,18204.9975713918,2639.58526434909,125.7192
1992-12-31,31864.0935166897,170630.241424131,229110.630786334,5621.292034,18458.3049230929,2402.65768842067,134.0412
1993-12-31,31434.0085315637,170817.552396797,229867.596791444,6311.61511,18731.8268448025,2432.35110828056,140.2428
1994-12-31,30418.9303247419,171401.365047735,230750.532976026,8159.226972,18250.7666013323,2340.78523021609,179.4588
1995-12-31,29699.0826440378,172966.168650756,230937.804120378,7570.52448100066,18161.1368519381,2279.9226926452,260.9688
1996-12-31,29009.2243329671,182148.288127849,241763.553529205,9593.31097500152,18206.09450404,2535.61198934708,271.0236
1997-12-31,27378.1499181794,175019.626330112,233603.08207237,10198.4529199986,17942.8715984795,2764.93650559994,299.0448
1998-12-31,26641.3935216498,176136.866137469,234161.154554444,11568.7216350007,17363.0586626424,2174.66459768209,276.45
1999-12-31,25382.8551808293,170727.34959651,220828.432124567,6012.70750500117,16673.1715865832,1766.13545564346,266.2128
2000-12-31,24279.4823943538,171887.440050803,219239.070133451,4765.18279600039,16145.3716875035,1902.81320479058,258.78
2001-12-31,23616.9850572741,176798.513076368,219714.044841575,2069.60927900116,15162.2212896827,1791.81653924905,274.8996
2002-12-31,22488.9240361521,176113.046481303,217608.554620142,1813.00656899995,14355.5997186866,2613.01021500028,224.9676
2003-12-31,21714.9922634073,179564.998097276,218291.2735995,1817.12936227051,14232.2479437955,764.435132750765,197.4708
2004-12-31,21331.7128935426,181381.76585373,219893.839719738,1911.11528172125,14679.3164884933,370.479202250528,219.45
2005-12-31,19874.587987337,177459.005110619,214226.59365834,1734.15547757208,14589.1420523123,365.985030500537,203.718
2006-12-31,19432.6494192436,172686.523341534,209176.557562045,1990.38473593324,14545.9907413353,351.240523998886,169.7688
2007-12-31,19481.6731672958,172587.180339288,207676.785782472,2130.62009813074,12893.9238617581,426.889115999815,156.4992
2008-12-31,19709.5538745878,175481.511022412,207040.278321458,2242.69905102488,9121.7929560328,328.267817400524,156.4536
2009-12-31,19489.088714765,170167.74143354,201382.077945278,2350.17883600339,8921.10763237052,308.38332859974,145.578
2010-12-31,19405.9885792345,182117.938134422,213281.339605326,2660.91224675172,8628.94241351834,313.772231399343,153.786
2011-12-31,18859.4323436199,169065.734256756,199175.460974573,2435.95379281315,8413.97319058313,275.195390800575,125.172
2012-12-31,18438.3687754137,165827.027252846,195272.034861553,2395.19386694771,8250.49185894635,188.44830739952,172.5048
2013-12-31,18425.5700391777,165717.877810591,194878.14270308,2040.65274731599,8430.42529159608,143.75721440003,119.8596
2014-12-31,18008.2920855401,158768.01234911,187184.613030073,1622.99402840981,8558.24549597757,93.2102710356294,133.8588
2015-12-31,18202.6209122523,166366.655865468,195422.373555567,1801.17161440981,8808.21443343644,104.220329999962,139.4904
2016-12-31,18329.0460653438,166282.089728861,194991.605712457,1617.75753883627,8476.74501941522,151.812159999993,134.1552
2017-12-31,18012.1930617435,164444.773768704,192876.468917916,1558.44940883627,8657.64364863181,77.0286300000103,126.3804
2018-12-31,17308.7770737663,160170.147439641,187756.387376424,1641.64618283627,8349.11774018123,163.008940000047,123.69
