Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
1990-12-31,133060.431949585,601187.186814322,797812.043911531,14391.4266541955,46210.6816497488,1651.35287226148,1310.54896488673
1991-12-31,133811.58067568,609266.002027072,807236.091914763,14991.0521364908,46429.7579358553,1384.97078942956,1352.25109272407
1992-12-31,133490.723173375,593745.973865002,786435.906206341,15597.6407846988,41516.6384765447,690.179258828982,1394.20180175341
1993-12-31,131903.729516722,579506.686402148,767022.497248039,16505.7207309102,37282.0985114523,602.557259987982,1221.07365375937
1994-12-31,125007.189305041,575774.599576308,758171.048580819,17593.527853379,37919.9175370176,611.221598678569,1263.86686137726
1995-12-31,126522.068054282,567507.648076862,751691.004751488,19096.2751805693,36660.3265073613,596.762230719238,1307.08997532288
1996-12-31,125643.929198499,589137.824656407,773629.780197509,20249.6600251355,36650.5644383815,596.183127221449,1350.65881653772
1997-12-31,123338.033729605,563241.836123903,748416.322334743,23105.122875671,36903.9084609115,502.937983198437,1323.37923582904
1998-12-31,119813.221717045,568512.201977305,747129.659071117,20075.2130905682,36864.3005943283,493.731928736251,1369.72024866498
1999-12-31,114254.703133261,561651.093852178,716725.958142813,11466.6600754927,27341.8317819604,473.95933377997,1536.25002450083
2000-12-31,109036.793785355,568220.055467351,716279.709927134,9885.02475998783,26685.8638505239,596.788570890907,1853.48996072423
2001-12-31,104138.780254979,576926.994554245,719097.192264081,10894.5604853433,25163.4488698532,485.586454100465,1486.78859085653
2002-12-31,101688.390928289,561047.845137749,699596.359216794,11392.6080980576,23534.3690831789,408.228276245172,1523.88463857078
2003-12-31,96504.2566670525,572532.251080021,706682.23096604,12830.4791490199,23110.381658114,356.610457178727,1347.29748900185
2004-12-31,92148.3588545896,573994.49080935,703280.269703178,11910.0884714553,23652.45936441,433.852722233669,1140.43052963254
2005-12-31,87366.2640683773,570724.265175529,695430.660399669,13132.230035756,22746.4326563864,385.149253121641,1076.03053742008
2006-12-31,82927.1384266945,568390.054550416,688259.169122062,14046.3902615512,21607.7465119857,387.668917757941,899.88421339368
2007-12-31,79042.7359468214,560205.595545064,676546.331109382,14495.8579843087,21659.081697143,287.838454497101,854.941047393408
2008-12-31,73452.3950608194,545682.4676761,656112.4735079,14994.6837526312,21018.2451946323,266.245326335585,698.165892960072
2009-12-31,68914.8234032465,495119.485922879,600031.686156189,15626.3212783697,19565.4405807703,197.332625280414,608.02634124204
2010-12-31,64242.4234937216,512864.791680109,614493.218705857,16486.94673777,19905.2237415032,287.70808802358,705.852733637388
2011-12-31,61559.1665119501,470608.131015341,567259.486848784,14931.4706858906,19118.3343236081,416.892656085692,625.192201707588
2012-12-31,60043.7205560703,488503.548419289,583865.702095406,15474.1618407422,18983.2641422338,254.981138296239,605.696599154184
2013-12-31,56051.1103039793,478608.945079335,570218.675811016,15803.2732441725,18914.2197981157,318.713921549906,522.051124280736
2014-12-31,53930.7314969011,439763.276954655,529981.279965921,16001.7640998961,19506.5016001591,278.314968972197,500.292271796124
2015-12-31,53123.8989420198,423199.617230795,512121.421823873,15987.2296826286,19012.3181959651,327.229299220511,470.690042348628
2016-12-31,51541.2382955864,399824.299299983,486371.70332206,15216.4503722804,18940.0631816849,353.941154895156,495.228743645268
2017-12-31,51965.7906619326,388803.410059709,475259.764862618,14180.8811534915,19306.3730951846,493.195627040647,509.583763876212
2018-12-31,51936.278549698,380849.882910071,465931.875248057,13132.6980033585,19209.7065135436,256.838691333409,545.887028530056
