,Year,Canada
0,1990,27691138
1,1991,28037420
2,1992,28371264
3,1993,28684764
4,1994,29000663
5,1995,29302311
6,1996,29610218
7,1997,29905948
8,1998,30155173
9,1999,30401286
10,2000,30685730
11,2001,31020902
12,2002,31360079
13,2003,31644028
14,2004,31940655
15,2005,32243753
16,2006,32571174
17,2007,32889025
18,2008,33247118
19,2009,33628895
20,2010,34004889
21,2011,34339328
22,2012,34714222
23,2013,35082954
24,2014,35437435
25,2015,35702908
26,2016,36109487
27,2017,36543321
28,2018,37057765
29,2019,37589262
