,Year,Russia
0,1990,147969407
1,1991,148394216
2,1992,148538197
3,1993,148458777
4,1994,148407912
5,1995,148375787
6,1996,148160129
7,1997,147915361
8,1998,147670784
9,1999,147214776
10,2000,146596869
11,2001,145976482
12,2002,145306497
13,2003,144648618
14,2004,144067316
15,2005,143518814
16,2006,143049637
17,2007,142805114
18,2008,142742366
19,2009,142785349
20,2010,142849468
21,2011,142960908
22,2012,143201721
23,2013,143506995
24,2014,143819666
25,2015,144096870
26,2016,144342396
27,2017,144496740
28,2018,144477860
29,2019,144373535
