,Year,Spain
0,1990,38867322
1,1991,38966376
2,1992,39157685
3,1993,39361262
4,1994,39549108
5,1995,39724050
6,1996,39889852
7,1997,40057389
8,1998,40223509
9,1999,40386875
10,2000,40567864
11,2001,40850412
12,2002,41431558
13,2003,42187645
14,2004,42921895
15,2005,43653155
16,2006,44397319
17,2007,45226803
18,2008,45954106
19,2009,46362946
20,2010,46576897
21,2011,46742697
22,2012,46773055
23,2013,46620045
24,2014,46480882
25,2015,46444832
26,2016,46484062
27,2017,46593236
28,2018,46797754
29,2019,47076781
