,Year,United States
0,1990,249623000
1,1991,252981000
2,1992,256514000
3,1993,259919000
4,1994,263126000
5,1995,266278000
6,1996,269394000
7,1997,272657000
8,1998,275854000
9,1999,279040000
10,2000,282162411
11,2001,284968955
12,2002,287625193
13,2003,290107933
14,2004,292805298
15,2005,295516599
16,2006,298379912
17,2007,301231207
18,2008,304093966
19,2009,306771529
20,2010,309321666
21,2011,311556874
22,2012,313830990
23,2013,315993715
24,2014,318301008
25,2015,320635163
26,2016,322941311
27,2017,324985539
28,2018,326687501
29,2019,328239523
