Date,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (PFCs),Sulphur hexafluoride (SF6)
1990-12-31,182572.681059447,705829.991803785,942072.460862751,,53433.9607443209,235.819623398333,0.007631799084
1991-12-31,174694.184798038,632536.626065897,855689.206454451,,48270.1773785019,188.199132516456,0.019079497824
1992-12-31,166761.386958694,589060.250850739,800682.920180701,,44718.9007009591,142.351143112439,0.030527196564
1993-12-31,158319.089194345,510199.537255087,710580.891650301,,41918.6398819659,143.566172459793,0.059146443528
1994-12-31,148884.234953263,419266.300739463,604307.686288836,,35995.8638831006,161.221842716612,0.064870292784
1995-12-31,138648.794656837,389864.61480804,561511.109740117,,32819.5727407033,178.059802319156,0.06773221764
1996-12-31,134676.047245303,351408.752806537,514681.246987495,,28453.1344310905,143.242864396173,0.069640167468
1997-12-31,129383.497099843,340242.686212178,498995.256417362,6.430905,29215.521411343,146.992956362048,0.127832635968
1998-12-31,125666.462187011,328578.93752301,480322.326822351,13.0193475573529,25943.0704898584,120.643618011429,0.19365690378
1999-12-31,126924.23569138,298203.960313902,449025.436898311,14.1424997308824,23780.9801215174,101.811091863657,0.30717991638
2000-12-31,117952.871223251,285337.201300114,427203.05276381,15.7315887340818,23781.0904928403,115.737646737058,0.420512133792
2001-12-31,116501.74334232,303559.229465307,445295.315697051,29.0180001254357,25092.7818666867,112.079867800228,0.463154811684
2002-12-31,109053.066331962,295673.490491261,430433.286109588,64.2410527234231,25542.7635244769,98.6552079088838,1.069501255212
2003-12-31,109680.487555607,307017.471704689,439724.290228893,105.178736101076,22842.0084344237,77.1525662727273,1.991231799084
2004-12-31,106529.281006463,310362.748297374,442498.569006736,187.230955976698,25322.8943415261,93.3364053955353,3.078
2005-12-31,102445.904195803,313118.087899896,441635.072724209,285.055803811308,25639.2256914269,142.332050427335,4.467082845132
2006-12-31,100088.117821383,332670.337203369,459266.972173946,402.250321116262,25990.8338436681,111.15898608367,4.27399832646
2007-12-31,99906.872399581,336364.013523953,462601.908247251,561.096689048497,25610.0157408144,154.711684649171,5.19820920504
2008-12-31,93232.2407699502,325532.712918485,450384.561367581,647.210734163348,30788.8184039384,174.240462383537,9.338078661168
2009-12-31,85161.5540028681,277293.500642892,389970.18011467,663.737536834602,26788.0727897416,53.9494937986483,9.365648535624
2010-12-31,84567.7829397665,294078.322497151,406799.088367138,743.833894952255,27372.771694677,26.6673071188849,9.710033472852
2011-12-31,86010.1957930301,307952.84142234,428125.579737834,819.972397183174,33334.1560667035,,8.41405857732
2012-12-31,80482.4355460468,303952.606071527,417169.507104465,840.734597301637,31882.7412895899,,10.9896
2013-12-31,75185.4511104299,297294.252816873,408768.446652449,881.216653019987,35394.9829497684,,12.543122357628
2014-12-31,68759.026014524,257584.689348606,362502.501107088,847.824969166252,35294.2351091364,,16.725665655144
2015-12-31,61235.8878797913,223911.868540142,318938.90906105,775.287558967009,32996.2230104597,,19.64207168958
2016-12-31,65994.0086270451,234200.301807805,337397.308843245,887.300228378847,36291.3858385263,,24.312341490108
2017-12-31,63653.6960870536,223232.151133566,322778.652178406,1009.48431210098,34854.8593179681,,28.4613277173
2018-12-31,67519.9271405532,231694.164731718,339244.284780777,1349.25761687292,38647.6443581464,,33.290933485848
