,Year,Predicted,Actual,Error,Country
0,1990,127230.10797855459,,,Australia
1,1991,125916.70183546789,124383.179358765,1533.522476702885,Australia
2,1992,124280.17399655675,124308.86910632199,-28.69510976523452,Australia
3,1993,121768.59623908829,123741.407630354,-1972.8113912657136,Australia
4,1994,119352.30125239106,120117.91528814699,-765.6140357559343,Australia
5,1995,117011.55511483924,116834.94174087801,176.6133739612269,Australia
6,1996,116933.85238446957,115158.282184655,1775.5701998145669,Australia
7,1997,116314.31272654838,115355.759462231,958.5532643173792,Australia
8,1998,116735.61019483623,118199.040670688,-1463.4304758517683,Australia
9,1999,117145.68144213282,117153.71771458401,-8.036272451194236,Australia
10,2000,115386.74022383528,113023.535362148,2363.204861687278,Australia
11,2001,114371.09778794019,116699.185079476,-2328.087291535805,Australia
12,2002,113129.36055454728,115299.174625221,-2169.8140706737177,Australia
13,2003,113124.95554581049,113507.385983824,-382.4304380135145,Australia
14,2004,110429.92933064223,108063.872818247,2366.05651239524,Australia
15,2005,111511.88059279245,110200.454648155,1311.425944637449,Australia
16,2006,110405.65363237349,111908.876432265,-1503.222799891504,Australia
17,2007,110964.24352930549,111344.131103165,-379.88757385950885,Australia
18,2008,110562.21587306356,111065.157016916,-502.9411438524403,Australia
19,2009,110373.61650772904,109353.592538331,1020.0239693980402,Australia
20,2010,110504.33101309165,108388.535612072,2115.7954010196554,Australia
21,2011,109615.84338100243,106258.98564064,3356.857740362422,Australia
22,2012,108334.94962234993,108278.92602009901,56.023602250919794,Australia
23,2013,109350.12387935621,107907.07256058,1443.0513187762117,Australia
24,2014,108351.38018407958,107218.468669856,1132.9115142235823,Australia
25,2015,106486.8969466353,105070.905979795,1415.990966840298,Australia
26,2016,104237.01981115232,105368.801285707,-1131.7814745546784,Australia
27,2017,101937.23217715498,105873.930156543,-3936.697979388031,Australia
28,2018,99522.51539507114,108170.69629232,-8648.180897248865,Australia
0,1990,80293.00800145604,,,Canada
1,1991,89277.59281919012,90484.9475779493,-1207.3547587591747,Canada
2,1992,93085.85394211905,92223.1563410774,862.6976010416547,Canada
5,1995,100048.3569120667,96534.4138920912,3513.9430199755006,Canada
6,1996,107089.67495502392,107642.18202729401,-552.5070722700912,Canada
7,1997,107618.18272906821,111229.571063724,-3611.388334655785,Canada
8,1998,111771.53854822554,109737.31389563199,2034.224652593548,Canada
9,1999,109065.48723798152,110472.376908335,-1406.8896703534847,Canada
10,2000,113400.64151693648,111548.90203856699,1851.7394783694908,Canada
11,2001,109219.21020284481,112024.25823625301,-2805.048033408195,Canada
12,2002,110371.43245937629,110153.734703924,217.69775545228913,Canada
13,2003,108021.0728029809,108324.712690453,-303.63988747210533,Canada
14,2004,107776.15288764657,106786.297954091,989.8549335555726,Canada
15,2005,107062.59245728469,107090.891076785,-28.298619500317727,Canada
16,2006,105395.50401105126,105737.331794082,-341.8277830307343,Canada
17,2007,106404.04460086208,104730.630023225,1673.4145776370715,Canada
18,2008,102091.2505174405,103092.874229944,-1001.6237125035113,Canada
19,2009,100305.8510694066,100190.83167366,115.01939574661083,Canada
20,2010,106953.85480401944,93922.0139985906,13031.840805428845,Canada
21,2011,143566.10418612696,91559.357822648,52006.74636347896,Canada
22,2012,185182.98721141974,91386.641953668,93796.34525775173,Canada
23,2013,225995.05800713226,94060.47297231779,131934.5850348145,Canada
24,2014,160441.12798707606,95502.2137745965,64938.91421247956,Canada
25,2015,181812.94258250808,97277.5529981807,84535.38958432738,Canada
26,2016,212955.1240828801,95542.4162094383,117412.70787344179,Canada
27,2017,255246.4235780798,92507.15904790901,162739.26453017077,Canada
28,2018,308790.08175422344,91893.0417416908,216897.04001253264,Canada
0,1990,47413.00489556705,,,Japan
1,1991,47948.107449879346,48247.4890237919,-299.38157391255663,Japan
2,1992,48807.0684405574,49126.5475020885,-319.47906153109943,Japan
3,1993,49274.10796839112,48977.0483006379,297.05966775322304,Japan
4,1994,49899.40390481465,49283.5248100651,615.8790947495509,Japan
5,1995,49803.55754287806,49708.606604447195,94.95093843086215,Japan
6,1996,50700.217850070534,50325.8432006212,374.3746494493316,Japan
7,1997,50772.36857294789,50816.84331242309,-44.474739475197566,Japan
8,1998,50830.04003273873,51363.9222908689,-533.8822581301647,Japan
9,1999,50475.78496602521,50880.4603203089,-404.67535428368865,Japan
10,2000,50647.05960922106,50854.0212495185,-206.96164029743522,Japan
11,2001,50837.44344985657,50766.136775345985,71.30667451058252,Japan
12,2002,50740.23765652458,50868.63887653071,-128.40122000613337,Japan
13,2003,49736.12065313957,49240.0519450528,496.06870808677195,Japan
14,2004,49253.99677617836,49446.2078450108,-192.2110688324392,Japan
15,2005,48225.47662569213,47828.71521324031,396.761412451815,Japan
16,2006,48129.63169520837,48328.3053815321,-198.6736863237238,Japan
17,2007,47587.8326356505,47064.7797963107,523.0528393397981,Japan
18,2008,47319.58655909117,47763.4521176283,-443.8655585371307,Japan
19,2009,47230.39041707624,47327.838240507306,-97.44782343106635,Japan
20,2010,46382.798497926036,47292.369055913,-909.5705579869609,Japan
21,2011,45754.46162681168,46980.0278294097,-1225.56620259802,Japan
22,2012,45017.833410244,45569.449351841504,-551.6159415975053,Japan
23,2013,44656.705619005865,46168.1687418584,-1511.4631228525323,Japan
24,2014,44228.865718304034,44770.835867468886,-541.970149164852,Japan
25,2015,43729.68415695301,43904.6718003371,-174.98764338409092,Japan
26,2016,43118.48774866114,43883.6013874571,-765.1136387959632,Japan
27,2017,42684.56075989574,43399.2707536272,-714.709993731456,Japan
28,2018,42261.3174629049,43657.9706849385,-1396.653222033594,Japan
0,1990,32710.004491246054,,,New Zealand
1,1991,32382.94436691694,31847.2144014944,535.7299654225426,New Zealand
2,1992,32109.15722864233,32252.8007615081,-143.6435328657717,New Zealand
3,1993,31727.796937808886,31864.093516689703,-136.29657888081783,New Zealand
4,1994,30907.280577611516,31434.0085315637,-526.7279539521842,New Zealand
5,1995,30488.716457329785,30418.9303247419,69.78613258788391,New Zealand
6,1996,29819.32084077912,29699.082644037797,120.23819674132392,New Zealand
7,1997,28664.260491879963,29009.2243329671,-344.96384108713755,New Zealand
8,1998,27871.17358668284,27378.1499181794,493.0236685034397,New Zealand
9,1999,26531.249781442166,26641.3935216498,-110.14374020763353,New Zealand
10,2000,25469.20294914208,25382.8551808293,86.3477683127785,New Zealand
11,2001,24594.166066407168,24279.4823943538,314.68367205336835,New Zealand
12,2002,23453.42795855484,23616.9850572741,-163.55709871926229,New Zealand
13,2003,22233.12486829662,22488.9240361521,-255.79916785547903,New Zealand
14,2004,21810.59024317698,21714.9922634073,95.5979797696782,New Zealand
15,2005,20694.175030950246,21331.7128935426,-637.5378625923549,New Zealand
16,2006,20151.6647736518,19874.587987337,277.0767863147994,New Zealand
17,2007,19972.194414003243,19432.6494192436,539.5449947596426,New Zealand
18,2008,19571.658960516175,19481.6731672958,89.98579322037403,New Zealand
19,2009,19447.376691566933,19709.5538745878,-262.17718302086723,New Zealand
20,2010,19001.953587926386,19489.088714765,-487.13512683861336,New Zealand
21,2011,18613.182200807518,19405.9885792345,-792.8063784269834,New Zealand
22,2012,18477.091751870455,18859.4323436199,-382.3405917494456,New Zealand
23,2013,18295.022060894735,18438.368775413703,-143.34671451896793,New Zealand
24,2014,17954.06723577252,18425.5700391777,-471.5028034051793,New Zealand
25,2015,17826.35628293785,18008.2920855401,-181.93580260224917,New Zealand
26,2016,17713.61936588327,18202.6209122523,-489.0015463690288,New Zealand
27,2017,17346.21990816557,18329.0460653438,-982.8261571782277,New Zealand
28,2018,16898.088605707246,18012.193061743503,-1114.104456036257,New Zealand
0,1990,60515.464767908656,,,Russia
1,1991,53319.550167775895,60017.6005313286,-6698.050363552706,Russia
2,1992,48571.66597897153,51333.4383585546,-2761.7723795830752,Russia
3,1993,47221.35776845014,47197.38291328349,23.974855166656198,Russia
4,1994,47185.985619244784,45511.6060749096,1674.3795443351846,Russia
5,1995,48751.498659865865,45139.8453475893,3611.6533122765686,Russia
6,1996,48690.0108157869,46097.9109896362,2592.0998261507048,Russia
7,1997,51125.29587733077,45916.205308204015,5209.090569126754,Russia
8,1998,48815.95085554069,49814.7754291516,-998.8245736109166,Russia
9,1999,46796.505342748314,47293.7367752291,-497.2314324807885,Russia
10,2000,39436.43051174793,45866.39400274951,-6429.963491001581,Russia
11,2001,38024.84984746045,36329.487225284,1695.3626221764498,Russia
12,2002,38801.97775449795,34866.5749004353,3935.402854062653,Russia
13,2003,38180.36927710339,37265.1458876826,915.2233894207893,Russia
14,2004,36830.972330551194,38508.6995442769,-1677.7272137257023,Russia
15,2005,37048.957537046364,37110.2320695627,-61.27453251633415,Russia
16,2006,37025.12959574267,37662.005598691096,-636.8760029484256,Russia
17,2007,36742.693728211736,37055.4719860122,-312.7782578004626,Russia
18,2008,36481.647626322585,36108.5374876169,373.1101387056842,Russia
19,2009,35227.411517350185,35183.2103815543,44.2011357958836,Russia
20,2010,34097.32005135371,33462.133500666,635.1865506877075,Russia
21,2011,33253.15208845946,31036.705038198706,2216.447050260751,Russia
22,2012,33839.080357693536,30198.999396646603,3640.080961046933,Russia
23,2013,33634.86213728187,30694.098760415,2940.7633768668675,Russia
24,2014,33514.12710234438,30158.616685878398,3355.510416465979,Russia
25,2015,33555.07711475666,30026.6849287365,3528.3921860201626,Russia
26,2016,33355.79320251136,29544.309712477596,3811.4834900337664,Russia
27,2017,33723.47658347352,29011.7996630305,4711.676920443024,Russia
28,2018,33725.493850752326,28706.5411582317,5018.952692520626,Russia
0,1990,6160.958451857276,,,Spain
1,1991,6035.402274449092,6044.11666459651,-8.714390147418271,Spain
2,1992,5965.860831119719,5973.0425614019105,-7.181730282191893,Spain
3,1993,5868.174456461768,5890.16893355638,-21.994477094611284,Spain
4,1994,5840.903309955659,5780.84515008,60.05815987565893,Spain
5,1995,5762.890992849426,5729.91851791902,32.97247493040595,Spain
6,1996,5708.723650697582,5729.317252020239,-20.59360132265647,Spain
7,1997,5612.176398433194,5668.3132728964,-56.13687446320637,Spain
8,1998,5507.073597558174,5519.4776194653,-12.404021907126662,Spain
9,1999,5447.422243911624,5448.39676350512,-0.9745195934965523,Spain
10,2000,5393.159761598034,5362.2310127973105,30.928748800723042,Spain
11,2001,5339.899676911457,5306.61412106198,33.28555584947753,Spain
12,2002,5317.372332778073,5347.71829465895,-30.34596188087744,Spain
13,2003,5294.123893542768,5303.13867227112,-9.014778728352212,Spain
14,2004,5244.620503340084,5222.94714744178,21.67335589830418,Spain
15,2005,5175.484921734276,5188.629326409578,-13.144404675302212,Spain
16,2006,5213.053997037452,5203.77434026851,9.279656768942004,Spain
17,2007,5195.126063558234,5220.2570251347,-25.13096157646578,Spain
18,2008,5220.148558138977,5202.424944157739,17.723613981237577,Spain
19,2009,5272.703559975775,5272.98940440767,-0.28584443189538433,Spain
20,2010,5212.370511028535,5180.89206516704,31.478445861494947,Spain
21,2011,5250.91247544597,5154.2736822446,96.63879320136948,Spain
22,2012,5084.170800189824,5099.1448071821205,-14.974006992296381,Spain
23,2013,5020.3884433609055,5070.7747738083,-50.38633044739436,Spain
24,2014,5117.388575696123,5006.729969128321,110.65860656780205,Spain
25,2015,5096.479977639947,5003.62120444444,92.85877319550673,Spain
26,2016,5064.827310670989,4974.08886834194,90.73844232904958,Spain
27,2017,5008.1274407268575,4930.18894661626,77.93849411059728,Spain
28,2018,5078.975223292996,4868.48522402396,210.48999926903616,Spain
0,1990,7557.385194104205,,,Switzerland
1,1991,7482.30029729124,7418.8498399773,63.450457313940205,Switzerland
2,1992,7439.736268382169,7415.060908844391,24.675359537778604,Switzerland
3,1993,7529.783674611539,7549.989331487809,-20.20565687627004,Switzerland
4,1994,7502.320079220966,7525.95972601442,-23.63964679345372,Switzerland
5,1995,7428.555278528673,7464.229192166129,-35.67391363745628,Switzerland
6,1996,7382.580449633872,7367.0977179325,15.482731701372359,Switzerland
7,1997,7425.118109654069,7375.66432546537,49.45378418869859,Switzerland
8,1998,7313.615325307529,7305.87401106313,7.741314244399291,Switzerland
9,1999,7123.008079785479,7198.35026599835,-75.34218621287073,Switzerland
10,2000,6961.436379820497,6998.616755965461,-37.18037614496461,Switzerland
11,2001,6853.614484229811,6833.157390898149,20.45709333166178,Switzerland
12,2002,6632.197350079665,6760.418828048249,-128.22147796858462,Switzerland
13,2003,6427.648697610833,6513.63045872873,-85.9817611178978,Switzerland
14,2004,6464.182241140377,6303.87942366468,160.30281747569734,Switzerland
15,2005,6370.985994262374,6330.34754289553,40.63845136684449,Switzerland
16,2006,6212.1247340631835,6140.51591924814,71.60881481504384,Switzerland
17,2007,5988.23884436176,6027.04950314251,-38.81065878074969,Switzerland
18,2008,5753.144809237442,5765.06123601231,-11.916426774867432,Switzerland
19,2009,5495.944353168784,5492.78307283734,3.161280331443777,Switzerland
20,2010,5475.532539063418,5338.20649784664,137.32604121677832,Switzerland
21,2011,5231.3600217138655,5216.54009122237,14.819930491495143,Switzerland
22,2012,5065.659976881769,5066.0020342095,-0.34205732773170894,Switzerland
23,2013,5011.132206022496,4899.563712810171,111.56849321232494,Switzerland
24,2014,4963.27730850463,4828.15994134697,135.11736715765983,Switzerland
25,2015,4888.243558454433,4701.76939353318,186.47416492125285,Switzerland
26,2016,4815.922878353935,4595.54385231961,220.37902603432485,Switzerland
27,2017,4851.8094240039645,4510.992384243111,340.81703976085373,Switzerland
28,2018,4644.299304201942,4470.49048359077,173.80882061117154,Switzerland
0,1990,6210.1560857340455,,,Turkey
1,1991,6045.9747966496725,6044.11666459651,1.8581320531620804,Turkey
2,1992,5960.094703578623,5973.0425614019105,-12.94785782328745,Turkey
3,1993,5862.806592642607,5890.16893355638,-27.36234091377264,Turkey
4,1994,5828.212279484758,5780.84515008,47.36712940475809,Turkey
5,1995,5772.359294312875,5729.91851791902,42.44077639385523,Turkey
6,1996,5698.104114506984,5729.317252020239,-31.21313751325488,Turkey
7,1997,5618.63077349127,5668.3132728964,-49.68249940513033,Turkey
8,1998,5521.6426892607815,5519.4776194653,2.165069795481031,Turkey
9,1999,5449.873519788037,5448.39676350512,1.47675628291654,Turkey
10,2000,5385.601799785563,5362.2310127973105,23.370786988252803,Turkey
11,2001,5338.295139732921,5306.61412106198,31.68101867094083,Turkey
12,2002,5327.879312789718,5347.71829465895,-19.838981869232157,Turkey
13,2003,5289.483867302605,5303.13867227112,-13.654804968515236,Turkey
