,Year,Predicted,Actual,Error,Country
0,1990,277422.99736581196,,,Australia
1,1991,277813.73579278856,278424.660375653,-610.9245828644489,Australia
2,1992,280573.19225866254,279872.660257341,700.5320013215533,Australia
3,1993,285125.8943738109,284912.437867139,213.45650667190785,Australia
4,1994,288692.1764143611,289235.186168999,-543.0097546378965,Australia
5,1995,294089.4391743865,294014.960792545,74.47838184150169,Australia
6,1996,303574.5866527042,305410.16660495603,-1835.5799522518064,Australia
7,1997,312726.63024984224,312361.585574263,365.04467557923635,Australia
8,1998,324839.55147564976,320795.086167167,4044.4653084827587,Australia
9,1999,335862.82915298967,334684.517907243,1178.3112457466777,Australia
10,2000,342473.03996530897,344063.765859686,-1590.725894377043,Australia
11,2001,349868.7950403358,350195.02382689697,-326.22878656117246,Australia
12,2002,355838.0303529711,357669.182881018,-1831.1525280468632,Australia
13,2003,360883.3405134215,362209.546033934,-1326.205520512478,Australia
14,2004,373864.7178812187,369726.0180660421,4138.699815176602,Australia
15,2005,380631.1352382441,383205.122284339,-2573.9870460949023,Australia
16,2006,387077.49876269576,386513.45429618,564.0444665157702,Australia
17,2007,390530.4268653199,392680.646328911,-2150.2194635911146,Australia
18,2008,398716.09179703915,399842.460646105,-1126.3688490658533,Australia
19,2009,407052.77746283857,404417.407486178,2635.369976660586,Australia
20,2010,409497.6372035188,407463.32796259294,2034.3092409258825,Australia
21,2011,412808.58249103057,405502.798857304,7305.783633726591,Australia
22,2012,417265.4296818313,404172.757021574,13092.67266025726,Australia
23,2013,414226.01329380623,406506.241774818,7719.771518988244,Australia
24,2014,416007.7146205104,397943.178573917,18064.53604659339,Australia
25,2015,421509.2401816469,394116.8915055071,27392.34867613978,Australia
26,2016,428696.2803966222,401554.757230168,27141.523166454223,Australia
27,2017,436532.00357463787,411031.531117043,25500.47245759488,Australia
28,2018,434865.2435283751,415097.42766819,19767.815860185132,Australia
0,1990,440214.8426582695,,,Canada
1,1991,461495.3489376646,462117.351149139,-622.0022114744061,Canada
2,1992,450361.67761164985,452494.723086163,-2133.045474513143,Canada
5,1995,479347.76604383957,467037.420143524,12310.345900315559,Canada
6,1996,493528.1515275632,494920.254788246,-1392.1032606827794,Canada
7,1997,503472.78347998566,510736.656417936,-7263.872937950364,Canada
8,1998,526687.0616263483,524789.166836941,1897.8947894072626,Canada
9,1999,534188.347259531,533639.792821814,548.5544377170736,Canada
10,2000,558559.7475075374,549553.212013035,9006.535494502401,Canada
11,2001,551473.7708059561,572162.1028639721,-20688.332058015978,Canada
12,2002,565959.2794011936,564946.398072384,1012.8813288096571,Canada
13,2003,573817.2589784702,570844.777611729,2972.481366741238,Canada
14,2004,586846.7953793295,587178.148867368,-331.35348803852685,Canada
15,2005,582025.590076235,585703.097963365,-3677.507887130021,Canada
16,2006,582898.9621085746,576434.4638473421,6464.498261232511,Canada
17,2007,581195.9508085152,570950.380878791,10245.56992972421,Canada
18,2008,584239.8779581035,594220.570759443,-9980.692801339435,Canada
19,2009,577217.0525074718,575586.90796111,1630.1445463617565,Canada
20,2010,586672.9532596824,542549.599765392,44123.35349429038,Canada
21,2011,591119.672185488,555549.849476423,35569.82270906505,Canada
22,2012,599690.9675132807,566740.990959863,32949.97655341774,Canada
23,2013,609989.5247432396,569737.013024553,40252.51171868667,Canada
24,2014,655661.3255574349,576327.006234054,79334.31932338094,Canada
25,2015,651300.7440369802,575942.1788118221,75358.56522515812,Canada
26,2016,640318.11463548,575906.9386452821,64411.175990197924,Canada
27,2017,634879.977270403,564032.530027391,70847.4472430119,Canada
28,2018,641838.1223047366,572834.389442262,69003.73286247463,Canada
0,1990,431037.30353217595,,,Japan
1,1991,435577.76341413485,438008.80219971295,-2431.038785578101,Japan
2,1992,438637.03932795883,437538.596512975,1098.442814983835,Japan
3,1993,436564.95369823737,437829.80394584796,-1264.8502476105932,Japan
4,1994,434905.778053569,430179.95845453604,4725.819599032984,Japan
5,1995,434672.7585439648,424581.72076242,10091.037781544845,Japan
6,1996,434650.6141972247,448332.906183622,-13682.291986397293,Japan
7,1997,442718.8485005661,442277.406090101,441.44241046509705,Japan
8,1998,452082.89203017356,448044.941141219,4037.9508889545687,Japan
9,1999,456074.3830880356,460049.19912109204,-3974.8160330564133,Japan
10,2000,461194.4678944242,464548.48104940704,-3354.013154982822,Japan
11,2001,469584.66070911934,468442.086348554,1142.5743605653406,Japan
12,2002,472212.5391754314,468642.862531697,3569.6766437343904,Japan
13,2003,480928.8683437116,476251.23595673294,4677.632386978657,Japan
14,2004,492987.73859223595,494183.2868849021,-1195.5482926661498,Japan
15,2005,498819.3852349947,499619.392973289,-800.0077382943127,Japan
16,2006,493833.86430525745,500005.67633925704,-6171.812033999595,Japan
17,2007,494318.4155903594,495124.19843293296,-805.7828425735352,Japan
18,2008,492588.5718321898,487693.30551220104,4895.266319988761,Japan
19,2009,475230.2887015396,476229.970792145,-999.6820906053763,Japan
20,2010,480831.7924079938,422624.18730751297,58207.60510048084,Japan
21,2011,479509.4029638646,433688.023903586,45821.37906027859,Japan
22,2012,479103.88351259305,422039.47517146,57064.408341133036,Japan
23,2013,464725.3225287717,401554.70858220704,63170.61394656467,Japan
