,Year,Predicted,Actual,Error,Country
0,1990,427754.4548030016,,,Australia
1,1991,425918.4488608485,424998.38093939,920.0679214585107,Australia
2,1992,426340.02614371886,426015.21016654,324.81597717886325,Australia
3,1993,429029.80705460685,430216.380428684,-1186.5733740771539,Australia
4,1994,428509.42870804743,430612.555988275,-2103.127280227549,Australia
5,1995,430725.95766956266,430653.332474529,72.62519503367366,Australia
6,1996,439364.5224069497,439004.900544292,359.62186265771743,Australia
7,1997,448228.2200119378,446681.84976225795,1546.370249679836,Australia
8,1998,461749.2197215623,458841.602459653,2907.6172619092977,Australia
9,1999,474112.04910184175,472629.6694302229,1482.3796716188663,Australia
10,2000,479223.8700855273,478199.840693722,1024.029391805292,Australia
11,2001,486934.07464159053,489373.8419723579,-2439.767330767354,Australia
12,2002,492704.4072934463,496982.30975583795,-4277.902462391648,Australia
13,2003,498223.59116684017,500807.889046869,-2584.29788002884,Australia
14,2004,510498.9288385586,502301.77541877,8197.153419788636,Australia
15,2005,518788.7233762435,520315.182054526,-1526.4586782825063,Australia
16,2006,523168.9768976656,526206.972835304,-3037.995937638392,Australia
17,2007,527579.7597519907,530787.987970756,-3208.2282187653473,Australia
18,2008,535871.8413784637,536888.602052634,-1016.7606741703348,Australia
19,2009,545215.4312988897,540669.000413683,4546.430885206675,Australia
20,2010,547682.691738546,544285.4619313821,3397.229807163938,Australia
21,2011,550131.0426333221,540571.409833721,9559.632799601066,Australia
22,2012,552209.5177563867,542511.917896035,9697.59986035165,Australia
23,2013,549104.2219142922,544732.756215615,4371.465698677232,Australia
24,2014,550730.0863665306,535006.813813143,15723.27255338768,Australia
25,2015,554968.093080372,530411.017699534,24557.07538083801,Australia
26,2016,559385.9283776982,538618.776181576,20767.152196122217,Australia
27,2017,564085.41569106,548862.546493278,15222.869197782013,Australia
28,2018,558373.4941515736,556612.265042082,1761.2291094915709,Australia
0,1990,568373.6429551998,,,Canada
1,1991,601348.1069212733,603221.866919033,-1873.7599977597129,Canada
