,Year,Predicted,Actual,Error,Country
0,1990,1267.0842168303957,,,Australia
1,1991,1307.5336139999888,1424.6835199999996,-117.14990600001079,Australia
2,1992,1204.253004533682,1424.6835199999996,-220.4305154663175,Australia
3,1993,1894.761597734699,1333.184,561.5775977346991,Australia
4,1994,1314.2774184558734,1829.872,-515.5945815441266,Australia
5,1995,1194.4234437837258,1027.34354927313,167.07989451059575,Australia
6,1996,612.0368019178957,1004.0321108286099,-391.99530891071424,Australia
7,1997,792.5092406120244,414.17063782292,378.3386027891044,Australia
8,1998,776.2126457525012,705.228318135053,70.98432761744823,Australia
9,1999,1091.3323984957333,998.289579795631,93.04281870010232,Australia
10,2000,1285.680592471538,1374.53997863768,-88.85938616614203,Australia
11,2001,1863.2971481412942,1613.95320909026,249.3439390510341,Australia
12,2002,2510.1070806725725,2307.1080785630897,202.99900210948272,Australia
13,2003,3029.1385228424137,2925.8982907323402,103.24023211007352,Australia
14,2004,3586.6207693296706,3578.8968963726893,7.723872956981268,Australia
15,2005,4223.024867992962,4267.13653601783,-44.11166802486787,Australia
16,2006,4452.082950897673,5002.7622515446,-550.679300646927,Australia
17,2007,5085.983399403977,5166.70568017775,-80.72228077377258,Australia
18,2008,5907.497301614048,6066.185866270961,-158.6885646569126,Australia
19,2009,7192.864844727416,6858.96362011689,333.9012246105267,Australia
20,2010,7885.5595021365525,8109.07325168487,-223.51374954831772,Australia
21,2011,8484.228679206402,8672.211854124609,-187.9831749182067,Australia
22,2012,8512.318998711035,9139.821464655071,-627.5024659440369,Australia
23,2013,9495.4095299328,9055.86893241829,439.5405975145095,Australia
24,2014,10634.86221138692,9859.71257255419,775.1496388327305,Australia
25,2015,11546.804878285117,10778.8523262396,767.9525520455172,Australia
26,2016,11656.998975379653,11795.3249584448,-138.32598306514774,Australia
27,2017,11525.793387215179,11979.462021949399,-453.6686347342202,Australia
28,2018,11871.885736843155,11685.9360964034,185.94964043975415,Australia
0,1990,1826.0173417604528,,,Canada
1,1991,1065.5854682453792,970.540192,95.04527624537911,Canada
2,1992,901.3419698527432,1056.6608,-155.3188301472569,Canada
5,1995,790.1160931644263,829.7768,-39.660706835573706,Canada
6,1996,494.4906187665765,460.50509723953695,33.985521527039566,Canada
7,1997,877.6665145233856,810.624954718478,67.04155980490759,Canada
8,1998,1010.5585871466901,1122.30349100694,-111.7449038602499,Canada
9,1999,1892.722429437039,1620.11150727323,272.61092216380894,Canada
10,2000,2061.236231823801,2160.36452105141,-99.128289227609,Canada
11,2001,2776.5394219006994,2754.842039835931,21.69738206476859,Canada
12,2002,3033.0186737128533,3159.2956287521,-126.27695503924679,Canada
13,2003,3698.651419226895,3607.06766099863,91.5837582282652,Canada
14,2004,4089.9147763556102,3979.8576530497603,110.05712330584993,Canada
15,2005,4507.7282529294025,4584.77356780635,-77.04531487694749,Canada
16,2006,4963.816378696181,5107.033442572972,-143.21706387679023,Canada
17,2007,5477.064009893453,5391.07606666372,85.98794322973299,Canada
18,2008,5887.780307861685,6077.57252813593,-189.79222027424476,Canada
19,2009,6299.845505433506,6135.67115116636,164.17435426714655,Canada
20,2010,6203.2650530819665,6909.971098699361,-706.7060456173949,Canada
21,2011,2750.2330150891794,7729.0536357747305,-4978.820620685551,Canada
22,2012,-1455.250156249851,8592.44913664706,-10047.69929289691,Canada
23,2013,-5367.364389992144,9083.742041150981,-14451.106431143126,Canada
24,2014,2665.0307252693456,10075.6652234939,-7410.634498224554,Canada
25,2015,374.69098189653596,10951.0288846077,-10576.337902711164,Canada
26,2016,-2999.856024934561,11042.4478057882,-14042.303830722762,Canada
27,2017,-7337.088670820813,11317.790993446,-18654.879664266813,Canada
28,2018,-12545.889980238397,11528.0861100581,-24073.9760902965,Canada
0,1990,450.42864173497946,,,Japan
1,1991,421.8838321193216,444.0,-22.116167880678404,Japan
2,1992,457.3584592330044,449.2973511111109,8.061108121893483,Japan
3,1993,416.63819968961616,471.905134358681,-55.266934669064824,Japan
4,1994,588.5816936326264,494.098536906839,94.48315672578741,Japan
5,1995,857.9218297497428,664.064980301903,193.85684944783975,Japan
6,1996,548.4321030062165,926.652550964668,-378.2204479584515,Japan
7,1997,752.8562756551146,668.402035490751,84.45424016436357,Japan
8,1998,1109.0567723246058,1004.12740922102,104.92936310358584,Japan
9,1999,1536.0157423860328,1525.61644413539,10.399298250642687,Japan
10,2000,1934.8267047601294,1988.72632313811,-53.89961837798069,Japan
11,2001,2519.1643923198317,2489.02540952606,30.138982793771902,Japan
12,2002,3272.220266012133,3284.1848173166,-11.964551304467022,Japan
