,Year,Predicted,Actual,Error,Country
0,1990,15903.363254269745,,,Australia
1,1991,15687.828907749827,15938.285071523998,-250.45616377417173,Australia
2,1992,15811.887235853344,15558.9119038648,252.97533198854399,Australia
3,1993,15614.938315126688,15367.9562181118,246.9820970148885,Australia
4,1994,15531.980039008336,15837.185610210601,-305.20557120226476,Australia
5,1995,15859.600804259278,16316.0512897778,-456.4504855185223,Australia
6,1996,16307.852925676632,15585.369029186799,722.4838964898336,Australia
7,1997,16725.422277944104,16850.8412064025,-125.41892845839538,Australia
8,1998,17799.88412058106,17647.3233467615,152.5607738195613,Australia
9,1999,18243.027703816257,17892.4180134994,350.6096903168582,Australia
10,2000,18589.44918227863,18387.6517109739,201.7974713047297,Australia
11,2001,19106.0024670649,19366.1912442857,-260.18877722079924,Australia
12,2002,19247.775649602387,19686.1664810306,-438.39083142821255,Australia
13,2003,19409.6745445782,20212.3402827668,-802.6657381885998,Australia
14,2004,20428.4409648632,19019.8886337367,1408.5523311264988,Australia
15,2005,20335.242820542197,20697.9552754028,-362.71245486060434,Australia
16,2006,20044.392725447324,20793.9632230892,-749.5704976418747,Australia
17,2007,20118.606643598363,20723.3763380542,-604.7696944558375,Australia
18,2008,19957.13535036523,19156.9940555132,800.1412948520301,Australia
19,2009,19650.92178640104,19431.1955305648,219.72625583623812,Australia
20,2010,19043.449760239142,19818.9801221028,-775.5303618636572,Australia
21,2011,18630.58388374846,19711.3541924073,-1080.7703086588408,Australia
22,2012,18395.843224150256,20478.3226617797,-2082.479437629445,Australia
23,2013,16960.560443287806,20821.1942621386,-3860.6338188507943,Australia
24,2014,16304.64452806923,19651.620913716102,-3346.9763856468726,Australia
25,2015,16332.331728876237,20096.6636090506,-3764.3318801743626,Australia
26,2016,16630.86227322573,19557.6306196468,-2926.7683464210677,Australia
27,2017,16694.067607294546,19566.3917025888,-2872.324095294254,Australia
28,2018,16070.572272105532,21265.58500213,-5195.012730024468,Australia
0,1990,33241.20121923275,,,Canada
1,1991,38242.80513034691,38864.8794880575,-622.0743577105895,Canada
2,1992,38005.95290879847,37379.7735780685,626.1793307299668,Canada
5,1995,38870.166490842006,37932.7956540921,937.3708367499057,Canada
6,1996,41906.40390126174,41412.6596267269,493.7442745348453,Canada
7,1997,41491.01465737121,43528.0734756848,-2037.0588183135915,Canada
8,1998,42481.23306503985,42263.7795233181,217.45354172174848,Canada
9,1999,38186.914038800634,38492.864340618704,-305.9503018180694,Canada
10,2000,37964.25094786985,36320.4650659834,1643.785881886448,Canada
11,2001,35270.46258236363,35852.6688166659,-582.2062343022699,Canada
12,2002,34629.46459589794,34832.8928540902,-203.42825819225982,Canada
13,2003,34540.68425031449,34692.806191072,-152.12194075751177,Canada
14,2004,36445.623789481004,36159.953645889,285.670143592004,Canada
15,2005,38285.34279758623,38343.7346698737,-58.391872287473234,Canada
16,2006,36098.76886541431,37212.3308814327,-1113.5620160183898,Canada
17,2007,34778.300684377784,34931.968299276,-153.6676148982151,Canada
18,2008,36438.84259547887,35662.6466026586,776.1959928202705,Canada
19,2009,37657.2443858193,37409.181799173,248.0625866463015,Canada
20,2010,37533.09876699711,34228.1736836689,3304.925083328206,Canada
21,2011,45767.63327158778,33391.6087124838,12376.024559103978,Canada
22,2012,56968.27162332949,33610.4052394659,23357.86638386359,Canada
23,2013,67134.49634257518,34988.3738513004,32146.12249127478,Canada
24,2014,52864.67810754827,36918.906182136605,15945.771925411667,Canada
25,2015,58035.67639271694,35711.4578496564,22324.21854306054,Canada
26,2016,66062.26401114953,36490.290208739396,29571.97380241013,Canada
27,2017,75819.75855114614,37239.8453479745,38579.913203171636,Canada
28,2018,88667.64789586316,36556.526742159396,52111.12115370377,Canada
0,1990,24979.54495179096,,,Japan
1,1991,25786.556123641523,26036.2447069511,-249.68858330957664,Japan
2,1992,27103.984211704083,27051.851853248598,52.13235845548479,Japan
3,1993,27066.667304335675,26587.142257530602,479.52504680507263,Japan
4,1994,26866.03820053944,27030.9729051192,-164.93470457976218,Japan
5,1995,26830.92143271897,26503.9420313767,326.97940134226883,Japan
6,1996,27396.739099221282,27578.518000512402,-181.77890129111984,Japan
7,1997,27881.8706464772,27694.55265175,187.31799472720013,Japan
8,1998,28749.627306913,28675.841684839903,73.78562207309733,Japan
9,1999,28701.032242370493,28951.2068757063,-250.174633335806,Japan
10,2000,28626.265559688956,29508.2632962254,-881.997736536443,Japan
11,2001,28890.088830140845,28648.1613265845,241.92750355634416,Japan
12,2002,29138.08225699411,28842.8606548353,295.22160215881013,Japan
13,2003,28301.25318447252,28230.2428396638,71.01034480872113,Japan
14,2004,29271.48869642553,28081.2836021894,1190.2050942361311,Japan
15,2005,27918.9583662117,28881.975561079904,-963.0171948682037,Japan
16,2006,25952.30041947592,28032.240057686602,-2079.9396382106825,Japan
17,2007,24502.646878463675,23123.3861812713,1379.2606971923742,Japan
18,2008,23341.325364948534,22407.5595764076,933.7657885409353,Japan
19,2009,20444.68950720923,20904.2895689513,-459.60006174206865,Japan
20,2010,19717.677833243037,19755.6304239311,-37.95259068806263,Japan
21,2011,18902.39798068994,19078.1222146923,-175.72423400235857,Japan
22,2012,17664.147458935375,18556.8125543108,-892.6650953754252,Japan
23,2013,15464.512943030131,19049.9288413333,-3585.4158983031703,Japan
24,2014,14441.853362611055,18289.4570152838,-3847.603652672744,Japan
25,2015,14890.444559311083,17833.8323234323,-2943.3877641212166,Japan
26,2016,14670.184743268717,17859.2564469064,-3189.071703637681,Japan
27,2017,14745.233278155534,18099.5286261541,-3354.2953479985663,Japan
28,2018,14113.400757787174,18007.0284621965,-3893.627704409326,Japan
0,1990,20510.668709067308,,,New Zealand
1,1991,18109.602190246333,18032.6596158077,76.94257443863171,New Zealand
2,1992,18152.463528181128,18204.9975713918,-52.53404321067137,New Zealand
3,1993,18507.676049176967,18458.3049230929,49.37112608406824,New Zealand
4,1994,18848.38320140908,18731.8268448025,116.55635660657936,New Zealand
5,1995,17977.914469572403,18250.7666013323,-272.852131759897,New Zealand
