,Year,Predicted,Actual,Error,Country
0,1990,5732.085529992568,,,Australia
1,1991,4972.305496046538,4607.01291909928,365.29257694725766,Australia
2,1992,4229.659511643564,4610.743293932561,-381.0837822889971,Australia
3,1993,4369.973712726693,4603.282544266,-233.308831539307,Australia
4,1994,3333.2787296363094,3315.5283760279804,17.75035360832908,Australia
5,1995,2263.370963956273,2164.42874878371,98.94221517256301,Australia
6,1996,1640.0156769833775,1530.8356649263199,109.18001205705764,Australia
7,1997,1390.4377222385738,1410.39505848126,-19.957336242686324,Australia
8,1998,1344.2258642425295,1228.1508980875,116.07496615502941,Australia
9,1999,1539.3653569848393,1660.51882000668,-121.15346302184071,Australia
10,2000,1257.6103752864292,1139.05875745416,118.55161783226913,Australia
11,2001,1494.2930542272588,1287.06178871158,207.23126551567884,Australia
12,2002,1746.6183522177816,1801.8819741597895,-55.26362194200783,Australia
13,2003,1542.6079325889514,1727.6231528209698,-185.01522023201846,Australia
14,2004,1962.8005436475578,1683.98477494731,278.8157687002479,Australia
15,2005,1888.8280955439332,1713.8487055083099,174.97939003562328,Australia
16,2006,989.3044168322667,1791.7011197247198,-802.396702892453,Australia
17,2007,694.0263758172223,687.059841760489,6.9665340567332805,Australia
18,2008,549.9618769256194,582.676819046088,-32.71494212046855,Australia
19,2009,781.6258937582243,444.516693559401,337.10920019882326,Australia
20,2010,586.8943858293715,358.551981149097,228.34240468027446,Australia
21,2011,424.968975618096,283.315234628066,141.65374099003003,Australia
22,2012,-482.487096131772,301.304839525102,-783.791935656874,Australia
23,2013,-1115.6523865597264,294.882946981773,-1410.5353335414993,Australia
24,2014,-766.2544639139232,192.00123588443802,-958.2556997983613,Australia
25,2015,-1114.573847273139,192.535990598746,-1307.109837871885,Australia
26,2016,-2060.5555789038262,171.323657071029,-2231.8792359748554,Australia
27,2017,-2843.6253877590643,224.92413389200001,-3068.5495216510644,Australia
28,2018,-4237.298643136892,202.62553668,-4439.924179816891,Australia
0,1990,8144.520724056463,,,Canada
1,1991,7633.165328248229,7557.901859348679,75.26346889955039,Canada
2,1992,7966.384761094116,8033.11321531272,-66.72845421860438,Canada
5,1995,7412.510545719706,7578.683113065459,-166.17256734575312,Canada
6,1996,6622.142633798823,6346.93669363401,275.205940164813,Canada
7,1997,6345.122806132771,6501.371418850589,-156.2486127178181,Canada
8,1998,6371.348064698395,6374.16772074153,-2.819656043134273,Canada
9,1999,6442.246310534247,6476.19287051094,-33.94655997669361,Canada
10,2000,5240.36487669358,5370.47642513038,-130.11154843680015,Canada
