,Year,Predicted,Actual,Error,Country
0,1990,16934248.571428537,17065100,-130851.42857146263,Australia
1,1991,17167509.24812025,17284000,-116490.75187975168,Australia
2,1992,17400769.92481202,17495000,-94230.07518798113,Australia
3,1993,17634030.60150373,17667000,-32969.39849627018,Australia
4,1994,17867291.27819544,17855000,12291.27819544077,Australia
5,1995,18100551.95488721,18072000,28551.954887211323,Australia
6,1996,18333812.631578922,18311000,22812.63157892227,Australia
7,1997,18567073.308270633,18517000,50073.30827063322,Australia
8,1998,18800333.984962404,18711000,89333.98496240377,Australia
9,1999,19033594.661654115,18926000,107594.66165411472,Australia
10,2000,19266855.338345826,19153000,113855.33834582567,Australia
11,2001,19500116.015037537,19413000,87116.01503753662,Australia
12,2002,19733376.691729307,19651400,81976.69172930717,Australia
13,2003,19966637.368421018,19895400,71237.36842101812,Australia
14,2004,20199898.04511273,20127400,72498.04511272907,Australia
15,2005,20433158.7218045,20394800,38358.721804499626,Australia
16,2006,20666419.39849621,20697900,-31480.601503789425,Australia
17,2007,20899680.07518792,20827600,72080.07518792152,Australia
18,2008,21132940.751879692,21249200,-116259.24812030792,Australia
19,2009,21366201.428571403,21691700,-325498.571428597,Australia
20,2010,21599462.105263114,22031750,-432287.894736886,Australia
21,2011,21832722.781954885,22340024,-507301.21804511547,Australia
22,2012,22065983.458646595,22733465,-667481.5413534045,Australia
23,2013,22299244.135338306,23128129,-828884.8646616936,Australia
24,2014,22532504.812030077,23475686,-943181.187969923,Australia
25,2015,22765765.488721788,23815995,-1050229.511278212,Australia
26,2016,22999026.1654135,24190907,-1191880.8345865011,Australia
27,2017,23232286.84210521,24601860,-1369573.1578947902,Australia
28,2018,23465547.51879698,24982688,-1517140.4812030196,Australia
0,1990,27722816.6789279,27691138,31678.678927898407,Canada
1,1991,28027163.218705416,28037420,-10256.781294584274,Canada
2,1992,28331509.758483052,28371264,-39754.241516947746,Canada
5,1995,29244549.377815843,29302311,-57761.62218415737,Canada
6,1996,29548895.91759336,29610218,-61322.08240664005,Canada
7,1997,29853242.457370996,29905948,-52705.542629003525,Canada
8,1998,30157588.997148514,30155173,2415.997148513794,Canada
9,1999,30461935.53692615,30401286,60649.53692615032,Canada
10,2000,30766282.076703787,30685730,80552.07670378685,Canada
11,2001,31070628.616481304,31020902,49726.61648130417,Canada
12,2002,31374975.15625894,31360079,14896.156258940697,Canada
13,2003,31679321.696036458,31644028,35293.696036458015,Canada
14,2004,31983668.235814095,31940655,43013.23581409454,Canada
15,2005,32288014.77559173,32243753,44261.77559173107,Canada
16,2006,32592361.31536925,32571174,21187.31536924839,Canada
17,2007,32896707.855146885,32889025,7682.855146884918,Canada
18,2008,33201054.394924402,33247118,-46063.60507559776,Canada
