,Year,Predicted,Actual,Error,Country
0,1990,198.8164575428167,,,Australia
1,1991,220.3432147959221,220.55969434898398,-0.21647955306187328,Australia
2,1992,240.86013646916626,239.342085079776,1.5180513893902514,Australia
3,1993,255.64281612000718,258.112168812888,-2.4693526928808183,Australia
4,1994,285.4148541949702,276.868544891196,8.546309303774194,Australia
5,1995,307.56816833760035,295.606353272172,11.961815065428368,Australia
6,1996,296.17796519781893,316.214949739716,-20.036984541897084,Australia
7,1997,278.90779475270824,289.097823057288,-10.190028304579755,Australia
8,1998,253.73542049960702,266.77305881308797,-13.037638313480954,Australia
9,1999,229.81304742262898,240.20739509453998,-10.394347671910992,Australia
10,2000,231.3497463467279,211.289024822616,20.060721524111898,Australia
11,2001,230.58914388082326,212.42682389780398,18.162319983019273,Australia
12,2002,232.5153034355069,218.79571584579602,13.71958758971087,Australia
13,2003,233.87410759978195,225.095302791336,8.778804808445955,Australia
14,2004,226.41934885840294,229.11422942425202,-2.6948805658490755,Australia
15,2005,198.61176112971816,230.664605103036,-32.052843973317835,Australia
16,2006,200.04440941998087,196.21551249973203,3.8288969202488374,Australia
17,2007,186.47293854490283,186.06867868777198,0.4042598571308531,Australia
18,2008,178.9391794558254,175.12764878244,3.8115306733854197,Australia
19,2009,163.6248034358274,163.32454493337602,0.30025850245138486,Australia
20,2010,164.81987373082404,146.99300178048,17.826871950344042,Australia
21,2011,166.83522271778486,142.744054617492,24.09116810029286,Australia
22,2012,183.46332547718964,140.785888401444,42.677437075745644,Australia
23,2013,187.76715446972378,147.495738677856,40.27141579186778,Australia
24,2014,197.7392863994104,141.831847215468,55.90743918394239,Australia
25,2015,207.3931922023229,155.168288343672,52.22490385865089,Australia
26,2016,225.32250022315043,170.938430537316,54.38406968583442,Australia
27,2017,239.9443325167141,186.307361261376,53.636971255338096,Australia
28,2018,280.5758623162467,189.994446358368,90.58141595787868,Australia
0,1990,4653.712555660895,,,Canada
1,1991,3633.2850270720082,3225.9221983891,407.36282868290846,Canada
2,1992,3211.9301057984703,3685.23933466788,-473.3092288694097,Canada
5,1995,2538.4433963129122,2557.11274234271,-18.669346029797907,Canada
6,1996,2200.129429685039,2275.15612704892,-75.02669736388088,Canada
7,1997,2028.7537085907243,1768.64579780718,260.1079107835442,Canada
8,1998,1814.2669441561738,1827.63096609743,-13.36402194125617,Canada
9,1999,2441.4079135252978,2357.48211821587,83.92579530942794,Canada
10,2000,2679.159855248872,2410.09923133865,269.06062391022215,Canada
11,2001,2695.891182728403,2902.95965514968,-207.06847242127742,Canada
12,2002,2711.3095253915817,2557.10062751939,154.20889787219176,Canada
13,2003,2623.279421812709,3015.81125977883,-392.53183796612075,Canada
14,2004,2436.0196249345026,2651.43094731505,-215.41132238054752,Canada
15,2005,1775.3693399435433,2339.9008824604107,-564.5315425168674,Canada
16,2006,1711.4826244675787,1417.36248040284,294.1201440647387,Canada
17,2007,1865.4167534815206,1526.73967628596,338.6770771955605,Canada
18,2008,1149.2852551105316,726.19307674164,423.0921783688916,Canada
19,2009,373.69020715061924,644.3334169902121,-270.6432098395928,Canada
20,2010,403.1474962338398,373.869838533732,29.277657700107795,Canada
21,2011,-432.8895454732119,442.093688220072,-874.9832336932839,Canada
22,2012,-1773.781841975113,395.693728654008,-2169.4755706291207,Canada
23,2013,-2671.562912972033,440.042468527044,-3111.605381499077,Canada
