row_id,Country_Code,Country_Name,Date,Year ,Methane (CH4),Carbon dioxide (CO2),Greenhouse Gas (GHGs),Hydrofluorocarbons (HFCs),Nitrous oxide (N2O),Perfluorocarbons (FFCs),Sulfar hexafluoride (SF6),Population
0,1,Australia,12/31/1990,1990,124383,278425,424998,1424.68,15938.3,4607.01,220.56,17065100
1,1,Australia,12/31/1991,1991,124309,279873,426015,1424.68,15558.9,4610.74,239.342,17284000
2,1,Australia,12/31/1992,1992,123741,284912,430216,1333.18,15368,4603.28,258.112,17495000
3,1,Australia,12/31/1993,1993,120118,289235,430613,1829.87,15837.2,3315.53,276.869,17667000
4,1,Australia,12/31/1994,1994,116835,294015,430653,1027.34,16316.1,2164.43,295.606,17855000
5,1,Australia,12/31/1995,1995,115158,305410,439005,1004.03,15585.4,1530.84,316.215,18072000
6,1,Australia,12/31/1996,1996,115356,312362,446682,414.171,16850.8,1410.4,289.098,18311000
7,1,Australia,12/31/1997,1997,118199,320795,458842,705.228,17647.3,1228.15,266.773,18517000
8,1,Australia,12/31/1998,1998,117154,334685,472630,998.29,17892.4,1660.52,240.207,18711000
9,1,Australia,12/31/1999,1999,113024,344064,478200,1374.54,18387.7,1139.06,211.289,18926000
10,1,Australia,12/31/2000,2000,116699,350195,489374,1613.95,19366.2,1287.06,212.427,19153000
11,1,Australia,12/31/2001,2001,115299,357669,496982,2307.11,19686.2,1801.88,218.796,19413000
12,1,Australia,12/31/2002,2002,113507,362210,500808,2925.9,20212.3,1727.62,225.095,19651400
13,1,Australia,12/31/2003,2003,108064,369726,502302,3578.9,19019.9,1683.98,229.114,19895400
14,1,Australia,12/31/2004,2004,110200,383205,520315,4267.14,20698,1713.85,230.665,20127400
15,1,Australia,12/31/2005,2005,111909,386513,526207,5002.76,20794,1791.7,196.216,20394800
16,1,Australia,12/31/2006,2006,111344,392681,530788,5166.71,20723.4,687.06,186.069,20697900
17,1,Australia,12/31/2007,2007,111065,399842,536889,6066.19,19157,582.677,175.128,20827600
18,1,Australia,12/31/2008,2008,109354,404417,540669,6858.96,19431.2,444.517,163.325,21249200
19,1,Australia,12/31/2009,2009,108389,407463,544285,8109.07,19819,358.552,146.993,21691700
20,1,Australia,12/31/2010,2010,106259,405503,540571,8672.21,19711.4,283.315,142.744,22031800
21,1,Australia,12/31/2011,2011,108279,404173,542512,9139.82,20478.3,301.305,140.786,22340000
22,1,Australia,12/31/2012,2012,107907,406506,544733,9055.87,20821.2,294.883,147.496,22733500
23,1,Australia,12/31/2013,2013,107218,397943,535007,9859.71,19651.6,192.001,141.832,23128100
24,1,Australia,12/31/2014,2014,105071,394117,530411,10778.9,20096.7,192.536,155.168,23475700
25,1,Australia,12/31/2015,2015,105369,401555,538619,11795.3,19557.6,171.324,170.938,23816000
26,1,Australia,12/31/2016,2016,105874,411032,548863,11979.5,19566.4,224.924,186.307,24190900
27,1,Australia,12/31/2017,2017,108171,415097,556612,11685.9,21265.6,202.626,189.994,24601900
28,1,Australia,12/31/2018,2018,109532,415954,558047,11982.1,20114.4,236.003,228.533,24982700
29,2,Canada,12/31/1990,1990,90484.9,462117,603222,970.54,38864.9,7557.9,3225.92,27691100
30,2,Canada,12/31/1991,1991,92223.2,452495,594873,1056.66,37379.8,8033.11,3685.24,28037400
31,2,Canada,12/31/1992,1992,96534.4,467037,612470,829.777,37932.8,7578.68,2557.11,28371300
32,2,Canada,12/31/1993,1993,99891.6,467406,615048,0,37921.1,7455.58,2373.54,28684800
33,2,Canada,12/31/1994,1994,103724,482437,636374,0,40877,6895.01,2441.74,29000700
34,2,Canada,12/31/1995,1995,107642,494920,653058,460.505,41412.7,6346.94,2275.16,29302300
35,2,Canada,12/31/1996,1996,111230,510737,674575,810.625,43528.1,6501.37,1768.65,29610200
36,2,Canada,12/31/1997,1997,109737,524789,686115,1122.3,42263.8,6374.17,1827.63,29905900
37,2,Canada,12/31/1998,1998,110472,533640,693059,1620.11,38492.9,6476.19,2357.48,30155200
38,2,Canada,12/31/1999,1999,111549,549553,707364,2160.36,36320.5,5370.48,2410.1,30401300
39,2,Canada,12/31/2000,2000,112024,572162,730682,2754.84,35852.7,4984.52,2902.96,30685700
