Country_Code,Country_Name,Date,Year,Carbon_dioxide_CO2,Methane_CH4,Greenhouse_Gas_GHG,Hydrofluorocarbons_HFC,Nitrous_oxide_N2O,Perfluorocarbons_FFC,Sulfar_hexafluoride_SF6,Population
1,Australia,1990-12-31,1990,278425,124383,424998,1424.68,15938.3,4607.01,220.56,17065100
1,Australia,1991-12-31,1991,279873,124309,426015,1424.68,15558.9,4610.74,239.342,17284000
1,Australia,1992-12-31,1992,284912,123741,430216,1333.18,15368,4603.28,258.112,17495000
1,Australia,1993-12-31,1993,289235,120118,430613,1829.87,15837.2,3315.53,276.869,17667000
1,Australia,1994-12-31,1994,294015,116835,430653,1027.34,16316.1,2164.43,295.606,17855000
1,Australia,1995-12-31,1995,305410,115158,439005,1004.03,15585.4,1530.84,316.215,18072000
1,Australia,1996-12-31,1996,312362,115356,446682,414.171,16850.8,1410.4,289.098,18311000
1,Australia,1997-12-31,1997,320795,118199,458842,705.228,17647.3,1228.15,266.773,18517000
1,Australia,1998-12-31,1998,334685,117154,472630,998.29,17892.4,1660.52,240.207,18711000
1,Australia,1999-12-31,1999,344064,113024,478200,1374.54,18387.7,1139.06,211.289,18926000
1,Australia,2000-12-31,2000,350195,116699,489374,1613.95,19366.2,1287.06,212.427,19153000
1,Australia,2001-12-31,2001,357669,115299,496982,2307.11,19686.2,1801.88,218.796,19413000
1,Australia,2002-12-31,2002,362210,113507,500808,2925.9,20212.3,1727.62,225.095,19651400
1,Australia,2003-12-31,2003,369726,108064,502302,3578.9,19019.9,1683.98,229.114,19895400
1,Australia,2004-12-31,2004,383205,110200,520315,4267.14,20698,1713.85,230.665,20127400
1,Australia,2005-12-31,2005,386513,111909,526207,5002.76,20794,1791.7,196.216,20394800
1,Australia,2006-12-31,2006,392681,111344,530788,5166.71,20723.4,687.06,186.069,20697900
1,Australia,2007-12-31,2007,399842,111065,536889,6066.19,19157,582.677,175.128,20827600
1,Australia,2008-12-31,2008,404417,109354,540669,6858.96,19431.2,444.517,163.325,21249200
1,Australia,2009-12-31,2009,407463,108389,544285,8109.07,19819,358.552,146.993,21691700
1,Australia,2010-12-31,2010,405503,106259,540571,8672.21,19711.4,283.315,142.744,22031800
1,Australia,2011-12-31,2011,404173,108279,542512,9139.82,20478.3,301.305,140.786,22340000
1,Australia,2012-12-31,2012,406506,107907,544733,9055.87,20821.2,294.883,147.496,22733500
1,Australia,2013-12-31,2013,397943,107218,535007,9859.71,19651.6,192.001,141.832,23128100
1,Australia,2014-12-31,2014,394117,105071,530411,10778.9,20096.7,192.536,155.168,23475700
1,Australia,2015-12-31,2015,401555,105369,538619,11795.3,19557.6,171.324,170.938,23816000
1,Australia,2016-12-31,2016,411032,105874,548863,11979.5,19566.4,224.924,186.307,24190900
1,Australia,2017-12-31,2017,415097,108171,556612,11685.9,21265.6,202.626,189.994,24601900
1,Australia,2018-12-31,2018,415954,109532,558047,11982.1,20114.4,236.003,228.533,24982700
2,Canada,1990-12-31,1990,462117,90484.9,603222,970.54,38864.9,7557.9,3225.92,27691100
2,Canada,1991-12-31,1991,452495,92223.2,594873,1056.66,37379.8,8033.11,3685.24,28037400
2,Canada,1992-12-31,1992,467037,96534.4,612470,829.777,37932.8,7578.68,2557.11,28371300
2,Canada,1993-12-31,1993,467406,99891.6,615048,0,37921.1,7455.58,2373.54,28684800
2,Canada,1994-12-31,1994,482437,103724,636374,0,40877,6895.01,2441.74,29000700
2,Canada,1995-12-31,1995,494920,107642,653058,460.505,41412.7,6346.94,2275.16,29302300
2,Canada,1996-12-31,1996,510737,111230,674575,810.625,43528.1,6501.37,1768.65,29610200
2,Canada,1997-12-31,1997,524789,109737,686115,1122.3,42263.8,6374.17,1827.63,29905900
2,Canada,1998-12-31,1998,533640,110472,693059,1620.11,38492.9,6476.19,2357.48,30155200
2,Canada,1999-12-31,1999,549553,111549,707364,2160.36,36320.5,5370.48,2410.1,30401300
2,Canada,2000-12-31,2000,572162,112024,730682,2754.84,35852.7,4984.52,2902.96,30685700
2,Canada,2001-12-31,2001,564946,110154,719697,3159.3,34832.9,4047.52,2557.1,31020900
2,Canada,2002-12-31,2002,570845,108325,723948,3607.07,34692.8,3462.96,3015.81,31360100
2,Canada,2003-12-31,2003,587178,106786,740246,3979.86,36160,3489.9,2651.43,31644000
2,Canada,2004-12-31,2004,585703,107091,741584,4584.77,38343.7,3521.88,2339.9,31940700
2,Canada,2005-12-31,2005,576434,105737,729747,5107.03,37212.3,3838.45,1417.36,32243800
2,Canada,2006-12-31,2006,570950,104731,720516,5391.08,34932,2985.13,1526.74,32571200
2,Canada,2007-12-31,2007,594221,103093,742314,6077.57,35662.6,2533.63,726.193,32889000
2,Canada,2008-12-31,2008,575587,100191,722568,6135.67,37409.2,2600.88,644.333,33247100
2,Canada,2009-12-31,2009,542550,93922,680494,6909.97,34228.2,2509.78,373.87,33628900
2,Canada,2010-12-31,2010,555550,91559.4,690531,7729.05,33391.6,1858.5,442.094,34004900
2,Canada,2011-12-31,2011,566741,91386.6,702413,8592.45,33610.4,1686.65,395.694,34339300
2,Canada,2012-12-31,2012,569737,94060.5,710108,9083.74,34988.4,1798.5,440.042,34714200
2,Canada,2013-12-31,2013,576327,95502.2,720877,10075.7,36918.9,1616.99,436.522,35083000
